"df1_row_id","df2_row_id","spearman_cor","p_value","p_adjust"
"Energy","phylum_Actinobacteria",0.425523339064853,0.475032910052422,0.993838553597523
"Energy","phylum_Bacteroidetes",0.263226694677221,0.668760954690021,0.993838553597523
"Energy","phylum_Firmicutes",-0.409795426605898,0.493227787025919,0.993838553597523
"Energy","phylum_Proteobacteria",0.0332876080037415,0.957624729645122,0.996118389051698
"Energy","phylum_Verrucomicrobia",0.0338585189154535,0.956898233087663,0.996118389051698
"Energy","phylum_unclassified_Bacteria",-0.296013950830714,0.628682258206456,0.993838553597523
"Energy","class_Actinobacteria",0.425523339064853,0.475032910052422,0.993838553597523
"Energy","class_Bacilli",0.471766350364726,0.422420010900881,0.993838553597523
"Energy","class_Bacteroidia",0.264120824916938,0.667662800033372,0.993838553597523
"Energy","class_Betaproteobacteria",-0.100409232939834,0.872370142541308,0.993838553597523
"Energy","class_Clostridia",-0.546796864012642,0.340240519938811,0.993838553597523
"Energy","class_Deltaproteobacteria",0.0770394496259375,0.902007441086968,0.993838553597523
"Energy","class_Erysipelotrichia",-0.124601501647567,0.841763916814005,0.993838553597523
"Energy","class_Gammaproteobacteria",0.486576704732939,0.405868962487864,0.993838553597523
"Energy","class_Negativicutes",0.464417095980522,0.430688892344179,0.993838553597523
"Energy","class_Verrucomicrobiae",0.034492709277754,0.956091228545885,0.996118389051698
"Energy","class_unclassified_Bacteria",-0.296013950830714,0.628682258206456,0.993838553597523
"Energy","class_unclassified_Firmicutes",0.378641203526828,0.529680166357515,0.993838553597523
"Energy","order_Bacteroidales",0.264120824916938,0.667662800033372,0.993838553597523
"Energy","order_Burkholderiales",-0.100428412030437,0.872345846399458,0.993838553597523
"Energy","order_Clostridiales",-0.546583192943257,0.340468320673054,0.993838553597523
"Energy","order_Coriobacteriales",0.392278958625942,0.513658030089791,0.993838553597523
"Energy","order_Desulfovibrionales",0.0770394496259375,0.902007441086968,0.993838553597523
"Energy","order_Enterobacteriales",0.479353119367642,0.413922501525603,0.993838553597523
"Energy","order_Erysipelotrichales",-0.124601501647567,0.841763916814005,0.993838553597523
"Energy","order_Lactobacillales",0.455290255791076,0.441007913832507,0.993838553597523
"Energy","order_Selenomonadales",0.464417095980522,0.430688892344179,0.993838553597523
"Energy","order_Verrucomicrobiales",0.034492709277754,0.956091228545885,0.996118389051698
"Energy","order_unclassified_Bacteria",-0.296013950830714,0.628682258206456,0.993838553597523
"Energy","order_unclassified_Firmicutes",0.378641203526828,0.529680166357515,0.993838553597523
"Energy","family_Acidaminococcaceae",0.711462856199481,0.177780398359113,0.993838553597523
"Energy","family_Bacteroidaceae",0.405044830616053,0.498751650751885,0.993838553597523
"Energy","family_Clostridiaceae.1",0.144698306950442,0.816409336506357,0.993838553597523
"Energy","family_Clostridiales_Incertae.Sedis.XIII",0.433471639552384,0.465893815814245,0.993838553597523
"Energy","family_Coriobacteriaceae",0.392278958625942,0.513658030089791,0.993838553597523
"Energy","family_Desulfovibrionaceae",0.0770394496259375,0.902007441086968,0.993838553597523
"Energy","family_Enterobacteriaceae",0.479353119367642,0.413922501525603,0.993838553597523
"Energy","family_Erysipelotrichaceae",-0.124601501647567,0.841763916814005,0.993838553597523
"Energy","family_Lachnospiraceae",-0.309194092972878,0.612687697007247,0.993838553597523
"Energy","family_Peptostreptococcaceae",0.184557284717364,0.766355256372911,0.993838553597523
"Energy","family_Porphyromonadaceae",-0.132281385458121,0.832066602682855,0.993838553597523
"Energy","family_Prevotellaceae",-0.294341726795132,0.630716530092664,0.993838553597523
"Energy","family_Rikenellaceae",0.611324372581429,0.273283906210816,0.993838553597523
"Energy","family_Ruminococcaceae",-0.462255597574333,0.433127759092095,0.993838553597523
"Energy","family_Streptococcaceae",0.439758717456844,0.458692188132005,0.993838553597523
"Energy","family_Sutterellaceae",-0.17482761372576,0.77854176214803,0.993838553597523
"Energy","family_Veillonellaceae",0.426332030951917,0.474101319148618,0.993838553597523
"Energy","family_Verrucomicrobiaceae",0.034492709277754,0.956091228545885,0.996118389051698
"Energy","family_unclassified_Bacteria",-0.296013950830714,0.628682258206456,0.993838553597523
"Energy","family_unclassified_Clostridiales",0.0392496268532256,0.95003865708757,0.996118389051698
"Energy","family_unclassified_Firmicutes",0.378641203526828,0.529680166357515,0.993838553597523
"Energy","genus_Akkermansia",0.034492709277754,0.956091228545885,0.996118389051698
"Energy","genus_Alistipes",0.611324372581429,0.273283906210816,0.993838553597523
"Energy","genus_Anaerotruncus",-0.0957395468092431,0.878287102739506,0.993838553597523
"Energy","genus_Anaerovorax",0.220553687631272,0.721475909976659,0.993838553597523
"Energy","genus_Bacteroides",0.405044830616053,0.498751650751885,0.993838553597523
"Energy","genus_Barnesiella",0.00062813284503289,0.999200236474948,0.999953433868597
"Energy","genus_Bilophila",-0.0315460180616321,0.959841025133908,0.996118389051698
"Energy","genus_Blautia",-0.596564372774024,0.288262100026687,0.993838553597523
"Energy","genus_Butyricicoccus",0.249872237130308,0.685195152358277,0.993838553597523
"Energy","genus_Butyricimonas",0.0934192319021267,0.881228175514349,0.993838553597523
"Energy","genus_Clostridium.IV",0.495270194280301,0.396225764135305,0.993838553597523
"Energy","genus_Clostridium.XI",0.184557284717364,0.766355256372911,0.993838553597523
"Energy","genus_Clostridium.XVIII",0.110567371471383,0.859508618667346,0.993838553597523
"Energy","genus_Clostridium.XlVa",0.381371505474651,0.526464619996437,0.993838553597523
"Energy","genus_Clostridium.XlVb",0.149658721187681,0.810162326988326,0.993838553597523
