"","df1_row_id","df2_row_id","spearman_cor","p_value","p_adjust"
"cor","Energy","phylum_Actinobacteria",0.356785106639823,0.555557871014892,0.990841128508357
"cor1","Energy","phylum_Bacteroidetes",-0.761196340829672,0.134955939141392,0.987401810139782
"cor2","Energy","phylum_Firmicutes",0.595836019935777,0.289006623927529,0.990841128508357
"cor3","Energy","phylum_Proteobacteria",-0.742133256532471,0.150963057972302,0.987401810139782
"cor4","Energy","phylum_Verrucomicrobia",0.0599230997292973,0.92374922501367,0.990841128508357
"cor5","Energy","phylum_unclassified_Bacteria",0.0688909148586331,0.912354794071405,0.990841128508357
"cor6","Energy","class_Actinobacteria",0.356785106639823,0.555557871014892,0.990841128508357
"cor7","Energy","class_Bacilli",-0.766184507080125,0.13085578404466,0.987401810139782
"cor8","Energy","class_Bacteroidia",-0.761219538627588,0.134936784583254,0.987401810139782
"cor9","Energy","class_Betaproteobacteria",-0.754329128008133,0.140661344722248,0.987401810139782
"cor10","Energy","class_Clostridia",0.313369608325802,0.607635403113297,0.990841128508357
"cor11","Energy","class_Deltaproteobacteria",-0.510571500381578,0.379386936189392,0.990841128508357
"cor12","Energy","class_Erysipelotrichia",0.604328727885959,0.280356754248892,0.990841128508357
"cor13","Energy","class_Gammaproteobacteria",-0.728897006148193,0.162380653703568,0.987401810139782
"cor14","Energy","class_Negativicutes",0.331467055719542,0.585823914133666,0.990841128508357
"cor15","Energy","class_Verrucomicrobiae",0.0599230997292973,0.92374922501367,0.990841128508357
"cor16","Energy","class_unclassified_Bacteria",0.0688909148586331,0.912354794071405,0.990841128508357
"cor17","Energy","class_unclassified_Firmicutes",0.247879792249286,0.687652190116504,0.990841128508357
"cor18","Energy","order_Bacteroidales",-0.761219538627588,0.134936784583254,0.987401810139782
"cor19","Energy","order_Burkholderiales",-0.754445066686251,0.140564444056043,0.987401810139782
"cor20","Energy","order_Clostridiales",0.313094003507793,0.607968655068076,0.990841128508357
"cor21","Energy","order_Coriobacteriales",0.361054948022711,0.550483590402358,0.990841128508357
"cor22","Energy","order_Desulfovibrionales",-0.510571500381578,0.379386936189392,0.990841128508357
"cor23","Energy","order_Enterobacteriales",0.772856078980508,0.125431061040066,0.987401810139782
"cor24","Energy","order_Erysipelotrichales",0.604328727885959,0.280356754248892,0.990841128508357
"cor25","Energy","order_Lactobacillales",-0.723319807459675,0.167263208227955,0.988490902872424
"cor26","Energy","order_Selenomonadales",0.331467055719542,0.585823914133666,0.990841128508357
"cor27","Energy","order_Verrucomicrobiales",0.0599230997292973,0.92374922501367,0.990841128508357
"cor28","Energy","order_unclassified_Bacteria",0.0688909148586331,0.912354794071405,0.990841128508357
"cor29","Energy","order_unclassified_Firmicutes",0.247879792249286,0.687652190116504,0.990841128508357
"cor30","Energy","family_Acidaminococcaceae",0.492894528816282,0.398855562215391,0.990841128508357
"cor31","Energy","family_Bacteroidaceae",-0.91675328398807,0.0284698937264907,0.881129610955054
"cor32","Energy","family_Clostridiaceae.1",0.801790167962703,0.1027231769648,0.987401810139782
"cor33","Energy","family_Clostridiales_Incertae.Sedis.XIII",0.898713077388973,0.0381024770696643,0.932045208319481
"cor34","Energy","family_Coriobacteriaceae",0.361054948022711,0.550483590402358,0.990841128508357
"cor35","Energy","family_Desulfovibrionaceae",-0.510571500381578,0.379386936189392,0.990841128508357
"cor36","Energy","family_Enterobacteriaceae",0.772856078980508,0.125431061040066,0.987401810139782
"cor37","Energy","family_Erysipelotrichaceae",0.604328727885959,0.280356754248892,0.990841128508357
"cor38","Energy","family_Lachnospiraceae",-0.26254857218522,0.669593997772391,0.990841128508357
"cor39","Energy","family_Peptostreptococcaceae",0.67114653630967,0.214862040085964,0.990841128508357
"cor40","Energy","family_Porphyromonadaceae",-0.603308077348303,0.281392640064154,0.990841128508357
"cor41","Energy","family_Prevotellaceae",-0.176265492920628,0.776739427366452,0.990841128508357
"cor42","Energy","family_Rikenellaceae",-0.50437402680563,0.386186223678961,0.990841128508357
"cor43","Energy","family_Ruminococcaceae",0.857735643184932,0.0630211390212621,0.987401810139782
"cor44","Energy","family_Streptococcaceae",-0.77972229839214,0.119920158689442,0.987401810139782
"cor45","Energy","family_Sutterellaceae",-0.760177918958488,0.135797647912673,0.987401810139782
"cor46","Energy","family_Veillonellaceae",0.305925277135076,0.616647943972284,0.990841128508357
"cor47","Energy","family_Verrucomicrobiaceae",0.0599230997292973,0.92374922501367,0.990841128508357
"cor48","Energy","family_unclassified_Bacteria",0.0688909148586331,0.912354794071405,0.990841128508357
"cor49","Energy","family_unclassified_Clostridiales",-0.521108002893171,0.367894183155316,0.990841128508357
"cor50","Energy","family_unclassified_Firmicutes",0.247879792249286,0.687652190116504,0.990841128508357
"cor51","Energy","genus_Akkermansia",0.0599230997292973,0.92374922501367,0.990841128508357
"cor52","Energy","genus_Alistipes",-0.50437402680563,0.386186223678961,0.990841128508357
"cor53","Energy","genus_Anaerotruncus",0.745742039262349,0.147892565659469,0.987401810139782
"cor54","Energy","genus_Anaerovorax",0.384749471795475,0.5224917255187,0.990841128508357
"cor55","Energy","genus_Bacteroides",-0.91675328398807,0.0284698937264907,0.881129610955054
"cor56","Energy","genus_Barnesiella",0.445816947726633,0.451776006362085,0.990841128508357
"cor57","Energy","genus_Bilophila",-0.643411546307161,0.241473158230469,0.990841128508357
"cor58","Energy","genus_Blautia",-0.499964097104949,0.391041808036479,0.990841128508357
"cor59","Energy","genus_Butyricicoccus",0.692984446472161,0.19452998404429,0.990841128508357
"cor60","Energy","genus_Butyricimonas",0.707696725150612,0.181159199328306,0.990841128508357
"cor61","Energy","genus_Clostridium.IV",0.766985322806707,0.130201035770229,0.987401810139782
"cor62","Energy","genus_Clostridium.XI",0.67114653630967,0.214862040085964,0.990841128508357
"cor63","Energy","genus_Clostridium.XVIII",0.710290307708234,0.17883040441733,0.990841128508357
"cor64","Energy","genus_Clostridium.XlVa",-0.0489939924409498,0.937643877075022,0.990841128508357
"cor65","Energy","genus_Clostridium.XlVb",0.783797106788756,0.116684912290127,0.987401810139782
"cor66","Energy","genus_Clostridium.sensu.stricto",0.802073590302575,0.102507590911813,0.987401810139782
"cor67","Energy","genus_Collinsella",0.364297445014077,0.546636203584532,0.990841128508357
"cor68","Energy","genus_Coprococcus",-0.434808609893016,0.464360321798184,0.990841128508357
"cor69","Energy","genus_Dorea",0.406935934830005,0.496551191141476,0.990841128508357
"cor70","Energy","genus_Eggerthella",-0.687650203818258,0.199443853147811,0.990841128508357
"cor71","Energy","genus_Erysipelotrichaceae_incertae_sedis",0.437516495759412,0.461257770084601,0.990841128508357
"cor72","Energy","genus_Faecalibacterium",0.290884406919156,0.634925852685931,0.990841128508357
"cor73","Energy","genus_Flavonifractor",0.813065820625216,0.0942536356089159,0.987401810139782
"cor74","Energy","genus_Holdemania",0.780640834445695,0.119188564191477,0.987401810139782
"cor75","Energy","genus_Lachnospiracea_incertae_sedis",0.0425006532972754,0.945902782884443,0.990841128508357
"cor76","Energy","genus_Odoribacter",-0.347439809407369,0.56669459355665,0.990841128508357
"cor77","Energy","genus_Oscillibacter",0.730405002450306,0.161067692694753,0.987401810139782
"cor78","Energy","genus_Parabacteroides",-0.54356166254245,0.343693711179971,0.990841128508357
"cor79","Energy","genus_Parasutterella",-0.763639978245201,0.13294264435371,0.987401810139782
"cor80","Energy","genus_Phascolarctobacterium",0.345524863138856,0.568981748679879,0.990841128508357
"cor81","Energy","genus_Prevotella",-0.0833202679648237,0.894036215076088,0.990841128508357
"cor82","Energy","genus_Pseudoflavonifractor",0.394164806752114,0.511450321020306,0.990841128508357
"cor83","Energy","genus_Roseburia",0.746558542238134,0.147200420836945,0.987401810139782
"cor84","Energy","genus_Ruminococcus",-0.678433667581742,0.20801464254028,0.990841128508357
"cor85","Energy","genus_Streptococcus",-0.56998905977383,0.315744929297626,0.990841128508357
"cor86","Energy","genus_Veillonella",0.784160542479604,0.116397648631771,0.987401810139782
"cor87","Energy","genus_unclassified_Bacteria",0.0688909148586331,0.912354794071405,0.990841128508357
"cor88","Energy","genus_unclassified_Clostridiales",-0.521108002893171,0.367894183155316,0.990841128508357
"cor89","Energy","genus_unclassified_Clostridiales_Incertae.Sedis.XIII",0.721579022192944,0.168795704380555,0.989438414617818
"cor90","Energy","genus_unclassified_Coriobacteriaceae",0.262267516658944,0.669939308609628,0.990841128508357
"cor91","Energy","genus_unclassified_Erysipelotrichaceae",0.531002882103631,0.357179825116286,0.990841128508357
"cor92","Energy","genus_unclassified_Firmicutes",0.247879792249286,0.687652190116504,0.990841128508357
"cor93","Energy","genus_unclassified_Lachnospiraceae",-0.347327628935948,0.566828530991985,0.990841128508357
"cor94","Energy","genus_unclassified_Porphyromonadaceae",-0.731176852638485,0.160396866157991,0.987401810139782
"cor95","Energy","genus_unclassified_Ruminococcaceae",0.746228508727954,0.147480073765584,0.987401810139782
"cor96","percent_carb_cal","phylum_Actinobacteria",-0.325592279787106,0.592888711077273,0.990841128508357
"cor97","percent_carb_cal","phylum_Bacteroidetes",-0.365803532603222,0.54485093218412,0.990841128508357
"cor98","percent_carb_cal","phylum_Firmicutes",0.11847612443386,0.849505159819398,0.990841128508357
"cor99","percent_carb_cal","phylum_Proteobacteria",0.581620446023508,0.303636990434603,0.990841128508357
