"data_set1","data_set2","cor","p","p_adjust","Mass","Metabolite","KEGG","HMDB","CAS","ChEBI","ppm","Mode","med","Ions","MSMS","Used.for.Quant","Super.pathway","Sub.pathway","true_name","mean_int"
"Salad","nHILIC_88.988_11",0.673371050334488,0.000592707520616602,0.00313023659325643,"88.988_11","Oxalate (ethanedioate)","C00209","HMDB02329",NA,NA,"-0.317261083","nHILIC",2e+05,"[M-H]-","YES","Y","Cofactors and Vitamins","Ascorbate and Aldarate Metabolism","Oxalate (ethanedioate)",185575.736972802
"Starchy_Vegetables","nRPLC_230.9968_4.1",0.730616248219569,0.000112751834625562,0.00317584334195334,"230.9968_4.1","methyl-4-hydroxybenzoate sulfate",NA,NA,NA,NA,"-0.339123346","nRPLC",30000,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","methyl-4-hydroxybenzoate sulfate",91039.7637821203
"Fats and Oils","pHILIC_754.5367_5.1",0.665913082343448,0.000717020498666142,0.00318885432301521,"754.5367_5.1","PC(34:4)",NA,NA,NA,NA,"-1.904272032","pHILIC",2e+05,"[M+H]+","YES","Y",NA,NA,"PC(34:4)",349883.379017442
"Coffee","pHILIC_764.5577_5",0.65708534369898,0.000892381469902684,0.00335138818696786,"764.5577_5","PC(P-36:5)",NA,NA,NA,NA,"-1.532795961","pHILIC",1e+05,"[M-H]-","YES","Y",NA,NA,"PC(P-36:5)",216697.931495116
"Tea","pRPLC_676.417_10.7",0.689488811413849,0.000385542595923176,0.00342902913909176,"676.417_10.7","PS(28:2)",NA,"HMDB12342",NA,"HMDB","-2.093130967","pRPLC",20000,"[M+H]+","YES","Y",NA,NA,"PS(28:2)",28662.0765607863
"Tea","pHILIC_785.6497_5.6",0.687620278049584,0.000405802264981273,0.00342902913909176,"785.6497_5.6","SM(d18:1/22:1)","C00550","HMDB12104",NA,"HMDB","-4.33968635","pHILIC",6e+06,"[M+H]+","YES","Y",NA,NA,"SM(d18:1/22:1)",7113340.70454638
"Sauces, Spices, and Herbs","nHILIC_969.5442_9.2",-0.690955967491407,0.0003702504656989,0.00347624048350634,"969.5442_9.2","PIP(38:2)",NA,NA,NA,NA,"-3.379307608","nHILIC",90000,"[M-H]-","YES","Y",NA,NA,"PIP(38:2)",99117.3563546428
"Rice_Pasta_Noodles","nRPLC_315.2541_9.4",0.664388051169158,0.000745013595366685,0.00349742493380472,"315.2541_9.4","MG(15:0)",NA,"HMDB11532",NA,"HMDB","0.06437713","nRPLC",50000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(15:0)",58933.1675015291
"Seafood","nHILIC_274.1407_12.3",-0.66516239621714,0.000730685361422545,0.00349742493380475,"274.1407_12.3","L-a-glutamyl-L-Lysine","C04700","HMDB04207","5891-53-2","HMDB","-0.511713733","nHILIC",3e+05,"[M-H]-","YES","Y","Peptide","Dipeptide","L-a-glutamyl-L-Lysine",291868.626570846
"Seafood","pHILIC_738.5403_4.4",-0.664388051169158,0.000745013595366693,0.00349742493380475,"738.5403_4.4","PC(P-34:4)",NA,NA,NA,NA,"-3.959555601","pHILIC",2e+05,"[M+H]+","YES","Y",NA,NA,"PC(P-34:4)",258031.155537207
"Eggs","nRPLC_315.2541_9.4",0.663109557851707,0.000769196166664672,0.00351335546395486,"315.2541_9.4","MG(15:0)",NA,"HMDB11532",NA,"HMDB","0.06437713","nRPLC",50000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(15:0)",58933.1675015291
"Eggs","pHILIC_738.5403_4.4",-0.663109557851707,0.000769196166664668,0.00351335546395486,"738.5403_4.4","PC(P-34:4)",NA,NA,NA,NA,"-3.959555601","pHILIC",2e+05,"[M+H]+","YES","Y",NA,NA,"PC(P-34:4)",258031.155537207
"Coffee","nHILIC_481.244_5.2",0.647753954202663,0.00111630047040153,0.00377309558995717,"481.244_5.2","11-beta-Hydroxyandrosterone-3-glucuronide",NA,"HMDB10351",NA,"HMDB","-0.627917462","nHILIC",70000,"[M-H]-","YES","Y","Lipid","Androgenic Steroids","11-beta-Hydroxyandrosterone-3-glucuronide",74266.6266585525
"Coffee","nRPLC_391.2856_9.8",0.647753954202663,0.00111630047040153,0.00377309558995717,"391.2856_9.8","Chenodeoxycholic Acid",NA,"HMDB0000518",NA,"HMDB","0.561396883","nRPLC",5e+05,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Chenodeoxycholic Acid",653486.691555401
"Coffee","nRPLC_327.2538_10.5",0.647753954202663,0.00111630047040153,0.00377309558995717,"327.2538_10.5","MG(16:1)",NA,"HMDB11534",NA,"HMDB","-0.851882898","nRPLC",20000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(16:1)",19787.7690314985
"Coffee","nRPLC_409.3322_11.2",0.647753954202663,0.00111630047040153,0.00377309558995717,"409.3322_11.2","MG(22:2)",NA,"HMDB11553",NA,"HMDB","-0.316713371","nRPLC",20000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(22:2)",23693.7044724771
"Coffee","nRPLC_439.3792_11.1",0.647753954202663,0.00111630047040153,0.00377309558995717,"439.3792_11.1","MG(24:1)",NA,"HMDB11559",NA,"HMDB","-0.182003771","nRPLC",40000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(24:1)",48871.7068565036
"Seafood","nRPLC_315.2541_9.4",0.659741980881261,0.000836128334023488,0.00381907266080999,"315.2541_9.4","MG(15:0)",NA,"HMDB11532",NA,"HMDB","0.06437713","nRPLC",50000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(15:0)",58933.1675015291
