"data_set1","data_set2","cor","p","p_adjust","Mass","Metabolite","KEGG","HMDB","CAS","ChEBI","ppm","Mode","med","Ions","MSMS","Used.for.Quant","Super.pathway","Sub.pathway","true_name","mean_int","class"
"Fats and Oils","nRPLC_439.3792_11.1",0.851458095030597,5.03787438643536e-07,1.41900128551263e-05,"439.3792_11.1","MG(24:1)",NA,"HMDB11559",NA,"HMDB","-0.182003771","nRPLC",40000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(24:1)",48871.7068565036,"IS"
"Fats and Oils","nRPLC_355.2852_11",0.844628217262972,7.66506768962257e-07,1.85056634220888e-05,"355.2852_11","MG(18:1)",NA,"HMDB11536",NA,"HMDB","-0.504551766","nRPLC",20000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(18:1)",23992.936959735,"IS"
"Fats and Oils","pHILIC_583.2539_5.3",0.82869183580518,1.89746722134349e-06,4.00839950508812e-05,"583.2539_5.3","Biliverdin","C00500","HMDB01008",NA,NA,"-2.086469819","pHILIC",1e+06,"[M+H]+","YES","Y","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism","Biliverdin",1195287.18205169,"IS"
"Fats and Oils","nHILIC_746.5159_4.2",0.825276896921367,2.27695432293276e-06,4.27561422861818e-05,"746.5159_4.2","PE(P-38:6)",NA,NA,NA,NA,"3.865781125","nHILIC",9e+05,"[M-H]-","YES","Y",NA,NA,"PE(P-38:6)",1015193.5966055,"IS"
"Fats and Oils","nRPLC_465.2489_8.6",0.819585332115013,3.05944490934873e-06,4.70041990618123e-05,"465.2489_8.6","Androsterone glucuronide","C11135","HMDB02829","1852-43-3","HMDB","-1.047046712","nRPLC",2e+05,"[M-H]-","YES","Y","Lipid","Androgenic Steroids","Androsterone glucuronide",198237.135747197,"IS"
"Fats and Oils","nRPLC_395.1897_10",0.819585332115013,3.05944490934873e-06,4.70041990618123e-05,"395.1897_10","Pregnenolone sulfate",NA,"HMDB00774","1247-64-9","HMDB","-0.163615583","nRPLC",2e+05,"[M-H]-","YES","Y","Lipid","Progestin Steroids","Pregnenolone sulfate",207310.860395107,"IS"
"Fats and Oils","pHILIC_212.1026_7.4",0.780882691431804,1.7973868432822e-05,0.000238141359187077,"212.1026_7.4","N-acetyl-1-methylhistidine",NA,NA,NA,NA,"-1.758906829","pHILIC",1e+05,"[M+H]+","YES","Y","Amino Acid","Histidine Metabolism","N-acetyl-1-methylhistidine",178249.095723038,"IS"
"Fats and Oils","nRPLC_498.2892_10.3",0.778606065509262,1.97276865598762e-05,0.000238141359187077,"498.2892_10.3","Tauroursodeoxycholic acid",NA,"HMDB00874","14605-22-2","HMDB","-0.55851986","nRPLC",3e+05,"[M-H]-","YES","Y","Lipid","Secondary Bile Acid Metabolism","Tauroursodeoxycholic acid",1287255.96127625,"IS"
"Fats and Oils","nHILIC_111.0199_3.4",-0.779744378470533,1.88329101675801e-05,0.000238141359187077,"111.0199_3.4","Uracil","C00106","HMDB00300","66-22-8","HMDB","-0.869271189","nHILIC",80000,"[M-H]-","YES","Y","Nucleotide","""Pyrimidine Metabolism, Uracil containing""","Uracil",86078.9332517839,"IS"
"Fats and Oils","pRPLC_100.0756_1.2",0.769499561819095,2.83313584448309e-05,0.000319199971811761,"100.0756_1.2","2-Piperidinone",NA,"HMDB11749",NA,NA,"-0.94798216","pRPLC",1e+05,"[M+H]+","YES","Y","Xenobiotics","Food Component/Plant","2-Piperidinone",234227.215327217,"IS"
"Fats and Oils","pHILIC_309.1649_15.6",-0.7615313710902,3.83853927874302e-05,0.000353014325333097,"309.1649_15.6","Fructoselysine","C16488",NA,NA,NA,"-2.372591014","pHILIC",3e+05,"[M+H]+","YES","Y","Carbohydrate","Pentose Metabolism","Fructoselysine",352298.913520897,"IS"
"Fats and Oils","nRPLC_315.2541_9.4",0.760393058128929,4.00498043535704e-05,0.000353014325333097,"315.2541_9.4","MG(15:0)",NA,"HMDB11532",NA,"HMDB","0.06437713","nRPLC",50000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(15:0)",58933.1675015291,"IS"
"Fats and Oils","nRPLC_385.332_10.8",0.759254745167658,4.1776843234686e-05,0.000353014325333097,"385.332_10.8","MG(20:0)",NA,"HMDB11542",NA,"HMDB","-0.854067958","nRPLC",10000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(20:0)",18392.7279658512,"IS"
"Fats and Oils","nHILIC_160.0615_7.2",0.759254745167658,4.1776843234686e-05,0.000353014325333097,"160.0615_7.2","N-acetylthreonine",NA,NA,NA,NA,"-0.124170556","nHILIC",60000,"[M-H]-","YES","Y","Amino Acid","""Glycine, Serine and Threonine Metabolism""","N-acetylthreonine",90863.7902522834,"IS"
"Fats and Oils","nRPLC_365.2333_9.7",0.76266968405147,3.67816708605173e-05,0.000353014325333097,"365.2333_9.7","Tetrahydrocortisol","C05472","HMDB00949","53-02-1","HMDB","-0.120680237","nRPLC",2e+05,"[M-H]-","YES","Y","Lipid","Androgenic Steroids","Tetrahydrocortisol",161875.914821611,"IS"
"Fats and Oils","nHILIC_238.0929_7.3",0.752424867400033,5.35691591216854e-05,0.000431104185312611,"238.0929_7.3","ethyl glucuronide",NA,"HMDB10325",NA,NA,"-1.346310153","nHILIC",3e+05,"[M-H]-","YES","Y","Xenobiotics","Chemical","ethyl glucuronide",327738.502754612,"IS"
