"pathway_id","pathway_name","describtion","pathway_class","p_value","p_value_adjust","all_id","all_number","mapped_id","mapped_number","mapped_percentage"
"hsa04979","Cholesterol metabolism","Cholesterol is an essential component of mammalian cell membranes as well as a precursor of bile acids, vitamin D and steroid hormones. Cholesterol homeostasis in humans is regulated by well-balanced mechanisms of intestinal uptake, endogenous synthesis, transport in lipoprotein particles, and biliary excretion. Its abnormal metabolism can lead to increased risk for various endocrine disorders and cardiovascular diseases.","Organismal Systems; Digestive system",0.000105630806048759,0.0296822564997012,"C00162;C00187;C00422;C00865;C01921;C02530;C05122;C05465;C05466;C15610",10,"C05466;C01921;C05122",3,30
"hsa00120","Primary bile acid biosynthesis","Bile acids are steroid carboxylic acids derived from cholesterol in vertebrates. The primary bile acids, cholic acid and chenodeoxycholic acid, are synthesized in the liver and conjugated with taurine or glycine before secretion via bile into the intestine. The conversion from cholesterol to cholic and chenodeoxycholic acids involves four steps: 1) the initiation of synthesis by 7alpha-hydroxylation of sterol precursors, 2) further modifications to the ring structures, 3) side-chain oxidation and shortening (cleavage) by three carbons, and 4) conjugation of the bile acid with taurine or glycine.","Metabolism; Lipid metabolism",0.00111268581938022,0.116906963750206,"C00037;C00187;C00245;C00695;C01301;C01794;C01921;C02528;C03594;C04554;C04722;C05122;C05337;C05444;C05445;C05446;C05447;C05448;C05449;C05451;C05452;C05453;C05454;C05455;C05460;C05465;C05466;C05467;C05468;C06341;C13550;C15518;C15519;C15520;C15610;C15613;C15614;C17331;C17332;C17333;C17335;C17336;C17337;C17339;C17343;C17345;C17346",47,"C17337;C05466;C01921;C05122",4,8.51063829787234
"hsa00232","Caffeine metabolism","NA","Metabolism; Biosynthesis of other secondary metabolites",0.00124811705071394,0.116906963750206,"C00048;C00385;C01762;C07130;C07480;C07481;C13747;C16352;C16353;C16355;C16356;C16357;C16358;C16359;C16360;C16361;C16362;C16363;C16364;C16365;C16366;C21144",22,"C16359;C16366;C13747",3,13.6363636363636
"hsa04976","Bile secretion","Bile is a vital secretion, essential for digestion and absorption of fats and fat-soluble vitamins in the small intestine. Moreover, bile is an important route of elimination for excess cholesterol and many waste product, bilirubin, drugs and toxic compounds. Bile secretion depends on the function of membrane transport systems in hepatocytes and cholangiocytes and on the structural and functional integrity of the biliary tree. The hepatocytes generate the so-called primary bile in their canaliculi. Cholangiocytes modify the canalicular bile by secretory and reabsorptive processes as bile passes through the bile ducts. The main solutes in bile are bile acids, which stimulate bile secretion osmotically, as well as facilitate the intestinal absorption of dietary lipids by their detergent properties. Bile acids are also important signalling molecules. Through the activation of nuclear receptors, they regulate their own synthesis and transport rates.","Organismal Systems; Digestive system",0.00682406578539457,0.479390621423968,"C00001;C00011;C00024;C00026;C00031;C00051;C00080;C00114;C00187;C00238;C00288;C00315;C00318;C00366;C00486;C00504;C00575;C00584;C00639;C00695;C00698;C00735;C00750;C00780;C00805;C00865;C00942;C01330;C01353;C01405;C01443;C01576;C01829;C01844;C01921;C01937;C01996;C02165;C02166;C02380;C02465;C02528;C02530;C02538;C02918;C03033;C03642;C03758;C03990;C04483;C04555;C05122;C05371;C05465;C05466;C05503;C05551;C05963;C06526;C06570;C06688;C06804;C06810;C06880;C06890;C06956;C06999;C07014;C07051;C07065;C07151;C07184;C07185;C07201;C07207;C07210;C07240;C07394;C07512;C07649;C07660;C07966;C08357;C08439;C09955;C11158;C11231;C11245;C11277;C11310;C11363;C11587;C11754;C12560;C16114;C16578;C16643;D00125;D00140;D00142;D00184;D00186;D00201;D00214;D00224;D00240;D00247;D00295;D00298;D00318;D00331;D00333;D00340;D00353;D00359;D00400;D00422;D00427;D00429;D00439;D00453;D00456;D00491;D00512;D00521;D00570;D00590;D00767;D00804;D01061;D01264;D01275;D01421;D01745;D01862;D02115;D02166;D02214;D02216;D02356;D03130;D03833;D03899;D04931;D05246;D06050;D06074;D07448;D07538;D07626;D07661;D07776;D07845;D07866;D07901;D07907;D07958;D07986;D07987;D08066;D08086;D08108;D08144;D08146;D08224;D08259;D08291;D08306;D08411;D08458;D08492;D08618;D08675;D08679",174,"C00486;C05466;C04555;C01921;C03033;C05122",6,3.44827586206897
"hsa00140","Steroid hormone biosynthesis","Steroid hormones derived from cholesterol are a class of biologically active compounds in vertebrates. The cholesterol side-chain cleavage enzyme CYP11A1 catalyzes conversion of cholesterol, a C27 compound, to the first C21 steroid, pregnenolone, which is converted by a bifunctional enzyme complex to the gestagen hormone, progesterone [MD:M00107]. Pregnenolone and progesterone are the starting materials for the three groups of steroids: C21 steroids of glucocorticoids and mineralocorticoids, C19 steroids of androgens, and C18 steroids of estrogens. (i) Progesterone is converted by hydroxylations at carbons 21 and 11 to corticosterone, which is further modified by hydroxylation and oxydoreduction at carbon 18 to yield aldosterone, a mineralcorticoid [MD:M00108]. Cortisol, the main glucocorticoid, is formed from 17alpha-hydroxyprogesterone with 11-deoxycortisol as an intermediate [MD:M00109]. (ii) Male hormone testosterone is formed from pregnenolone by two pathways, delta5 pathway via dehydroepiandrosterone and delta4 pathway via androstenedione [MD:M00110]. The enzyme CYP17A1 is responsible for the 17,20 lyase and 17alpha-hydroxylase activities in respective pathways. (iii) Female hormones estrone and estradiol are formed from testosterone and 4-androstene-3,17-dione by oxidative removal of the C19 methyl group and subsequent aromatization of ring A [MD:M00111]. In addition to these three groups, recent studies show that there is another group, termed neurosteroids, synthesized in the brain rather than the peripheral endocrine gland.","Metabolism; Lipid metabolism",0.0162376873667508,0.912558030011393,"C00187;C00280;C00410;C00468;C00523;C00535;C00674;C00735;C00762;C00951;C01124;C01176;C01227;C01780;C01953;C02140;C02373;C02537;C02538;C03205;C03681;C03747;C03772;C03852;C03917;C03935;C04042;C04295;C04373;C04518;C04555;C04676;C05138;C05139;C05140;C05141;C05284;C05285;C05290;C05291;C05293;C05294;C05295;C05296;C05297;C05298;C05299;C05300;C05301;C05302;C05469;C05470;C05471;C05472;C05473;C05474;C05475;C05476;C05477;C05478;C05479;C05480;C05481;C05482;C05483;C05484;C05485;C05487;C05488;C05489;C05490;C05497;C05498;C05499;C05500;C05501;C05502;C05503;C05504;C08357;C08358;C08359;C11131;C11132;C11133;C11134;C11135;C11136;C13712;C13713;C18038;C18039;C18040;C18041;C18042;C18043;C18044;C18045;C18075",99,"C04295;C11135;C04555;C05472",4,4.04040404040404
"hsa00240","Pyrimidine metabolism","NA","Metabolism; Nucleotide metabolism",0.0263883387608676,0.926890398975473,"C00015;C00029;C00039;C00046;C00055;C00063;C00064;C00075;C00086;C00099;C00105;C00106;C00112;C00119;C00169;C00178;C00214;C00222;C00239;C00295;C00299;C00337;C00363;C00364;C00365;C00380;C00383;C00429;C00438;C00458;C00459;C00460;C00475;C00526;C00672;C00705;C00813;C00881;C01013;C01103;C01168;C01205;C01346;C01368;C01563;C02067;C02170;C02354;C02355;C02376;C02642;C03997;C05281;C05822;C06198;C11038;C11039;C15607;C20231;C20249;C20253;C20254;C20846;C21028;C21029",65,"C01103;C02067;C00106",3,4.61538461538461
"hsa00360","Phenylalanine metabolism","NA","Metabolism; Amino acid metabolism",0.0204570541542042,0.926890398975473,"C00022;C00024;C00042;C00079;C00082;C00084;C00091;C00122;C00166;C00180;C00423;C00512;C00582;C00596;C00601;C00642;C00805;C01198;C01575;C01586;C01772;C02137;C02232;C02265;C02505;C02763;C02765;C03519;C03589;C04044;C04148;C04351;C04479;C05332;C05593;C05598;C05607;C05629;C05852;C05853;C06207;C07086;C08300;C08301;C11457;C11588;C12621;C12622;C12623;C12624;C14144;C14145;C15524;C16719;C17268;C19945;C19946;C19975;C20062",59,"C05852;C05629;C05607",3,5.08474576271186
"hsa00600","Sphingolipid metabolism","NA","Metabolism; Lipid metabolism",0.0253583487831175,0.926890398975473,"C00065;C00154;C00195;C00319;C00346;C00550;C00836;C01120;C01190;C01290;C01747;C02686;C02934;C02960;C03640;C05681;C06062;C06124;C06125;C06126;C06127;C06128;C12126;C12144;C12145",25,"C00550;C01120",2,8
