data_set1,data_set2,cor,p,p_adjust,p_adjust2,Mass,Compounds_ID,Metabolite,KEGG,HMDB,CAS,ChEBI,ppm,Mode,med,Ions,MSMS,Used.for.Quant,Super.pathway,Sub.pathway
PolyFat,pHILIC_298.1139_4.7,-0.313036064349484,0.156042464813346,0.343228995574666,0.32549426113953,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
TransFat,pHILIC_298.1139_4.7,0.416622543825132,0.053754219090805,0.129676000722384,0.160012143701011,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
Chol,pHILIC_298.1139_4.7,0.137735868313773,0.541032351562646,0.816379173340065,0.718568619950567,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
Water,pHILIC_298.1139_4.7,-0.109278044282002,0.628318841052363,0.758470600984638,0.788656370418443,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
VitA_IU,pHILIC_298.1139_4.7,-0.0466708314121049,0.836603842215706,0.867399075671499,0.92557566881498,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
Caroten,pHILIC_298.1139_4.7,0.0261811981092296,0.907928412076408,0.975403968134954,0.966521842996006,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
Retinol,pHILIC_298.1139_4.7,-0.745594989632408,6.81624635670061e-05,0.001047223303893,0.0013750702391208,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
BetaCaro,pHILIC_298.1139_4.7,0.393856284599715,0.0697345390963738,0.180826538149794,0.189563662120249,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
VitB1,pHILIC_298.1139_4.7,-0.48150638261757,0.0232723704950924,0.0786606122734124,0.0907490738025872,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
VitB2,pHILIC_298.1139_4.7,-0.439388803050549,0.0407540305951523,0.10128575250854,0.133370059203792,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
VitB3,pHILIC_298.1139_4.7,-0.546390221410009,0.0085137541270156,0.0399673457629345,0.0458554995283701,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
VitB_NE,pHILIC_298.1139_4.7,-0.352877017993964,0.107214730711558,0.283113898285209,0.254390024631372,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
VitB6,pHILIC_298.1139_4.7,-0.303929560659317,0.169090336900278,0.3175140770683,0.343433593563672,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
VitB12,pHILIC_298.1139_4.7,-0.308482812504401,0.162475264177357,0.27735676410074,0.334165543337907,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
Biot,pHILIC_298.1139_4.7,-0.022766259225417,0.919897635255741,0.959646298507532,0.973018790621832,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
VitC,pHILIC_298.1139_4.7,0.397271223483527,0.0671324506233248,0.236362169902956,0.184619392150176,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
VitD_IU,pHILIC_298.1139_4.7,-0.330110758768547,0.133509494378364,0.250701161666039,0.294688157010105,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
VitE_a_Toco,pHILIC_298.1139_4.7,-0.118384547972169,0.599783628860232,0.703912731092911,0.76801457665491,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
