"data_set1","data_set2","cor","p","p_adjust","p_adjust2"
"Energy","phylum_Actinobacteria",0.0506912442396313,0.882333292766691,0.984930187274446,0.966898943268775
"Energy","phylum_Bacteroidetes",0.474654377880184,0.140154807054885,0.305792306301568,0.283541812443442
"Energy","phylum_Firmicutes",-0.658986175115207,0.027430864991671,0.0908056220413937,0.0911614899265986
"Energy","phylum_Proteobacteria",0.806451612903226,0.00271059916052001,0.0144565288561067,0.0169429097404494
"Energy","phylum_Verrucomicrobia",-0.382488479262673,0.245661487821185,0.413745663698839,0.418315143920412
"Energy","phylum_unclassified_Bacteria",0.00460829493087558,0.989271189995643,1,1
"Energy","class_Actinobacteria",0.0506912442396313,0.882333292766691,0.984930187274446,0.966898943268775
"Energy","class_Bacilli",-0.299539170506912,0.370854803610462,0.515971900675425,0.55595440211256
"Energy","class_Bacteroidia",0.474654377880184,0.140154807054885,0.305792306301568,0.283541812443442
"Energy","class_Betaproteobacteria",0.990783410138249,4.00165494719358e-09,1.28052958310195e-07,1.92079437465292e-07
"Energy","class_Clostridia",-0.658986175115207,0.027430864991671,0.0908056220413937,0.0911614899265986
"Energy","class_Deltaproteobacteria",0.354838709677419,0.284266265327246,0.447369860187141,0.464913776272911
"Energy","class_Erysipelotrichia",-0.944700460829493,1.18826779542726e-05,0.000190122847268362,0.000252966800967946
"Energy","class_Gammaproteobacteria",-0.67741935483871,0.0220135550978553,0.0845320515757642,0.0785448585819689
"Energy","class_Negativicutes",0.834101382488479,0.00141327081168252,0.0084796248700951,0.010014932994207
"Energy","class_Verrucomicrobiae",-0.382488479262673,0.245661487821185,0.413745663698839,0.418315143920412
"Energy","class_unclassified_Bacteria",0.00460829493087558,0.989271189995643,1,1
"Energy","class_unclassified_Firmicutes",0.557603686635945,0.0747016529666811,0.181530754204829,0.180819224688142
"Energy","order_Bacteroidales",0.474654377880184,0.140154807054885,0.305792306301568,0.283541812443442
"Energy","order_Burkholderiales",0.990783410138249,4.00165494719358e-09,1.28052958310195e-07,1.92079437465292e-07
"Energy","order_Clostridiales",-0.658986175115207,0.027430864991671,0.0908056220413937,0.0911614899265986
"Energy","order_Coriobacteriales",0.0506912442396313,0.882333292766691,0.984930187274446,0.966898943268775
"Energy","order_Desulfovibrionales",0.354838709677419,0.284266265327246,0.447369860187141,0.464913776272911
"Energy","order_Enterobacteriales",0.576036866359447,0.0636452330148062,0.181530754204829,0.165725151268851
"Energy","order_Erysipelotrichales",-0.944700460829493,1.18826779542726e-05,0.000190122847268362,0.000252966800967946
"Energy","order_Lactobacillales",-0.299539170506912,0.370854803610462,0.515971900675425,0.55595440211256
"Energy","order_Selenomonadales",0.834101382488479,0.00141327081168252,0.0084796248700951,0.010014932994207
"Energy","order_Verrucomicrobiales",-0.382488479262673,0.245661487821185,0.413745663698839,0.418315143920412
"Energy","order_unclassified_Bacteria",0.00460829493087558,0.989271189995643,1,1
"Energy","order_unclassified_Firmicutes",0.557603686635945,0.0747016529666811,0.181530754204829,0.180819224688142
"Energy","family_Acidaminococcaceae",0.556129415349274,0.0756378142520122,0.181530754204829,0.182911216213992
"Energy","family_Bacteroidaceae",0.382488479262673,0.245661487821185,0.413745663698839,0.418315143920412
"Energy","family_Clostridiaceae.1",0.317972350230415,0.34063335640508,0.51095003460762,0.526951206259971
"Energy","family_Clostridiales_Incertae.Sedis.XIII",0.354838709677419,0.284266265327246,0.447369860187141,0.464913776272911
"Energy","family_Coriobacteriaceae",0.0506912442396313,0.882333292766691,0.984930187274446,0.966898943268775
"Energy","family_Desulfovibrionaceae",0.354838709677419,0.284266265327246,0.447369860187141,0.464913776272911
"Energy","family_Enterobacteriaceae",0.576036866359447,0.0636452330148062,0.181530754204829,0.165725151268851
"Energy","family_Erysipelotrichaceae",-0.944700460829493,1.18826779542726e-05,0.000190122847268362,0.000252966800967946
"Energy","family_Lachnospiraceae",-0.0875576036866359,0.797960372445726,0.945730811787527,0.909095919167903
"Energy","family_Peptostreptococcaceae",0.769585253456221,0.00560961171356219,0.0244783056591804,0.0299179291389983
"Energy","family_Porphyromonadaceae",-1,0,0,0
"Energy","family_Prevotellaceae",0.216589861751152,0.522376982611414,0.686961511379394,0.698516185946616
"Energy","family_Rikenellaceae",0.686635944700461,0.0196122995722603,0.0784491982890412,0.0720486499809824
"Energy","family_Ruminococcaceae",-0.870967741935484,0.000482312165333007,0.00420926980654261,0.00433569663818788
"Energy","family_Streptococcaceae",-0.161290322580645,0.635659123873113,0.782349690920755,0.788837468845464
"Energy","family_Sutterellaceae",0.917050691244239,7.07418668112211e-05,0.000848902401734653,0.0010617540363879
"Energy","family_Veillonellaceae",0.870967741935484,0.000482312165333002,0.00420926980654261,0.00433569663818788
"Energy","family_Verrucomicrobiaceae",-0.382488479262673,0.245661487821185,0.413745663698839,0.418315143920412
"Energy","family_unclassified_Bacteria",0.00460829493087558,0.989271189995643,1,1
"Energy","family_unclassified_Clostridiales",-0.299539170506912,0.370854803610462,0.515971900675425,0.55595440211256
"Energy","family_unclassified_Firmicutes",0.557603686635945,0.0747016529666811,0.181530754204829,0.180819224688142
"Energy","genus_Akkermansia",-0.382488479262673,0.245661487821185,0.413745663698839,0.418315143920412
"Energy","genus_Alistipes",0.686635944700461,0.0196122995722603,0.0784491982890412,0.0720486499809824
"Energy","genus_Anaerotruncus",-0.124423963133641,0.715486696601098,0.869452188274752,0.851753933623394
"Energy","genus_Anaerovorax",-0.0783410138248848,0.818905692422275,0.9587188594212,0.920590402793755
"Energy","genus_Bacteroides",0.382488479262673,0.245661487821185,0.413745663698839,0.418315143920412
"Energy","genus_Barnesiella",-0.317972350230415,0.34063335640508,0.51095003460762,0.526951206259971
"Energy","genus_Bilophila",-0.179723502304147,0.596956692109803,0.754050558454488,0.751996942177439
"Energy","genus_Blautia",-0.631336405529954,0.0372252441899343,0.115278175555925,0.116126328901524
"Energy","genus_Butyricicoccus",0.834101382488479,0.00141327081168252,0.0084796248700951,0.010014932994207
"Energy","genus_Butyricimonas",0,1,1,1
"Energy","genus_Clostridium.IV",-0.474654377880184,0.140154807054885,0.305792306301568,0.283541812443442
"Energy","genus_Clostridium.XI",0.769585253456221,0.00560961171356219,0.0244783056591804,0.0299179291389983
"Energy","genus_Clostridium.XVIII",0.216589861751152,0.522376982611414,0.686961511379394,0.698516185946616
"Energy","genus_Clostridium.XlVa",-0.640552995391705,0.0337265055688972,0.107924817820471,0.108265274659022
"Energy","genus_Clostridium.XlVb",0.769585253456221,0.00560961171356219,0.0244783056591804,0.0299179291389983
"Energy","genus_Clostridium.sensu.stricto",0.317972350230415,0.34063335640508,0.51095003460762,0.526951206259971
"Energy","genus_Collinsella",0.428571428571429,0.188454054213164,0.393295417488341,0.349309372618061
"Energy","genus_Coprococcus",-0.0875576036866359,0.797960372445726,0.945730811787527,0.909095919167903
"Energy","genus_Dorea",-0.400921658986175,0.221704486346351,0.413745663698839,0.388040050405997
"Energy","genus_Eggerthella",0,1,1,1
"Energy","genus_Erysipelotrichaceae_incertae_sedis",0.778801843317972,0.00473594252555045,0.023928972760676,0.0260502438594602
"Energy","genus_Faecalibacterium",-0.382488479262673,0.245661487821185,0.413745663698839,0.418315143920412
"Energy","genus_Flavonifractor",-0.188940092165899,0.57794427395287,0.739768670659673,0.747478511914642
"Energy","genus_Holdemania",-0.225806451612903,0.504374607997625,0.681971300954535,0.682696995342355
"Energy","genus_Lachnospiracea_incertae_sedis",-0.456221198156682,0.158415744731433,0.337953588760391,0.30846510110736
"Energy","genus_Odoribacter",0.0230414746543779,0.946387835316862,1,1
"Energy","genus_Oscillibacter",-0.188940092165899,0.57794427395287,0.739768670659673,0.747478511914642
"Energy","genus_Parabacteroides",-0.861751152073733,0.000648831728002229,0.00479137276063185,0.00541189480668089
"Energy","genus_Parasutterella",0.917050691244239,7.07418668112211e-05,0.000848902401734653,0.0010617540363879
"Energy","genus_Phascolarctobacterium",0.236052682663761,0.484683338411947,0.664708578393528,0.665964833978308
"Energy","genus_Prevotella",0.556129415349274,0.0756378142520122,0.181530754204829,0.182911216213992
"Energy","genus_Pseudoflavonifractor",-0.806451612903226,0.00271059916052,0.0144565288561067,0.0169429097404494
"Energy","genus_Roseburia",0.00460829493087558,0.989271189995643,1,1
"Energy","genus_Ruminococcus",0.382488479262673,0.245661487821185,0.413745663698839,0.418315143920412
"Energy","genus_Streptococcus",-0.161290322580645,0.635659123873113,0.782349690920755,0.788837468845464
"Energy","genus_Veillonella",-0.299539170506912,0.370854803610462,0.515971900675425,0.55595440211256
"Energy","genus_unclassified_Bacteria",0.00460829493087558,0.989271189995643,1,1
"Energy","genus_unclassified_Clostridiales",-0.299539170506912,0.370854803610462,0.515971900675425,0.55595440211256
"Energy","genus_unclassified_Clostridiales_Incertae.Sedis.XIII",0.419354838709677,0.199179495047554,0.40683471328862,0.360649562562973
"Energy","genus_unclassified_Coriobacteriaceae",-0.658986175115207,0.027430864991671,0.0908056220413937,0.0911614899265986
"Energy","genus_unclassified_Erysipelotrichaceae",-0.861751152073733,0.000648831728002229,0.00479137276063185,0.00541189480668089
"Energy","genus_unclassified_Firmicutes",0.557603686635945,0.0747016529666811,0.181530754204829,0.180819224688142
"Energy","genus_unclassified_Lachnospiraceae",0.00460829493087558,0.989271189995643,1,1
"Energy","genus_unclassified_Porphyromonadaceae",-0.898026510133874,0.000174164678836738,0.00185775657425854,0.00197801313821724
"Energy","genus_unclassified_Ruminococcaceae",-0.557603686635945,0.0747016529666811,0.181530754204829,0.180819224688142
"percent_carb_cal","phylum_Actinobacteria",-0.244239631336405,0.469200587052116,0.686961511379393,0.651553653635689
"percent_carb_cal","phylum_Bacteroidetes",-0.225806451612903,0.504374607997625,0.686961511379393,0.682696995342355
"percent_carb_cal","phylum_Firmicutes",-0.216589861751152,0.522376982611414,0.686961511379393,0.698516185946616
"percent_carb_cal","phylum_Proteobacteria",0.0783410138248848,0.818905692422275,0.873499405250427,0.920590402793755
"percent_carb_cal","phylum_Verrucomicrobia",0.972350230414746,5.46692857594408e-07,7.49750204700932e-06,1.47956024438322e-05
"percent_carb_cal","phylum_unclassified_Bacteria",-0.769585253456221,0.00560961171356216,0.0244783056591803,0.0299179291389983
"percent_carb_cal","class_Actinobacteria",-0.244239631336405,0.469200587052116,0.686961511379393,0.651553653635689
"percent_carb_cal","class_Bacilli",-0.576036866359447,0.0636452330148062,0.210687667911083,0.165725151268851
"percent_carb_cal","class_Bacteroidia",-0.225806451612903,0.504374607997625,0.686961511379393,0.682696995342355
"percent_carb_cal","class_Betaproteobacteria",-0.400921658986175,0.221704486346351,0.471670056616676,0.388040050405997
"percent_carb_cal","class_Clostridia",-0.216589861751152,0.522376982611414,0.686961511379393,0.698516185946616
"percent_carb_cal","class_Deltaproteobacteria",-0.179723502304147,0.596956692109803,0.716348030531763,0.751996942177439
"percent_carb_cal","class_Erysipelotrichia",0.557603686635945,0.0747016529666811,0.210922314258864,0.180819224688142
"percent_carb_cal","class_Gammaproteobacteria",0.824884792626728,0.00177734740204699,0.0142187792163759,0.0118520885735453
"percent_carb_cal","class_Negativicutes",0.0506912442396313,0.882333292766691,0.920695609843503,0.966898943268775
"percent_carb_cal","class_Verrucomicrobiae",0.972350230414746,5.46692857594408e-07,7.49750204700932e-06,1.47956024438322e-05
"percent_carb_cal","class_unclassified_Bacteria",-0.769585253456221,0.00560961171356216,0.0244783056591803,0.0299179291389983
"percent_carb_cal","class_unclassified_Firmicutes",0.382488479262673,0.245661487821185,0.471670056616676,0.418315143920412
"percent_carb_cal","order_Bacteroidales",-0.225806451612903,0.504374607997625,0.686961511379393,0.682696995342355
"percent_carb_cal","order_Burkholderiales",-0.400921658986175,0.221704486346351,0.471670056616676,0.388040050405997
"percent_carb_cal","order_Clostridiales",-0.216589861751152,0.522376982611414,0.686961511379393,0.698516185946616
"percent_carb_cal","order_Coriobacteriales",-0.244239631336405,0.469200587052116,0.686961511379393,0.651553653635689
"percent_carb_cal","order_Desulfovibrionales",-0.179723502304147,0.596956692109803,0.716348030531763,0.751996942177439
"percent_carb_cal","order_Enterobacteriales",-0.142857142857143,0.675197400608702,0.745045407568223,0.818538092517769
"percent_carb_cal","order_Erysipelotrichales",0.557603686635945,0.0747016529666811,0.210922314258864,0.180819224688142
"percent_carb_cal","order_Lactobacillales",-0.576036866359447,0.0636452330148062,0.210687667911083,0.165725151268851
"percent_carb_cal","order_Selenomonadales",0.0506912442396313,0.882333292766691,0.920695609843503,0.966898943268775
"percent_carb_cal","order_Verrucomicrobiales",0.972350230414746,5.46692857594408e-07,7.49750204700932e-06,1.47956024438322e-05
"percent_carb_cal","order_unclassified_Bacteria",-0.769585253456221,0.00560961171356216,0.0244783056591803,0.0299179291389983
"percent_carb_cal","order_unclassified_Firmicutes",0.382488479262673,0.245661487821185,0.471670056616676,0.418315143920412
"percent_carb_cal","family_Acidaminococcaceae",0.331808306636962,0.318833178998947,0.556508821525435,0.499299235071297
"percent_carb_cal","family_Bacteroidaceae",-0.179723502304147,0.596956692109803,0.716348030531763,0.751996942177439
"percent_carb_cal","family_Clostridiaceae.1",0.299539170506912,0.370854803610462,0.603424765196683,0.55595440211256
