"data_set1","data_set2","cor","p","p_adjust","level","class"
"Biot","phylum_Verrucomicrobia",-0.907834101382488,0.000112114254402055,0.000768783458756947,"phylum","IS"
"Biot","class_Verrucomicrobiae",-0.907834101382488,0.000112114254402055,0.000768783458756947,"class","IS"
"Biot","order_Verrucomicrobiales",-0.907834101382488,0.000112114254402055,0.000768783458756947,"order","IS"
"Biot","family_Verrucomicrobiaceae",-0.907834101382488,0.000112114254402055,0.000768783458756947,"family","IS"
"Biot","genus_Akkermansia",-0.907834101382488,0.000112114254402055,0.000768783458756947,"genus","IS"
"Biot","genus_Faecalibacterium",-0.907834101382488,0.000112114254402055,0.000768783458756947,"genus","IS"
"Biot","genus_Ruminococcus",0.907834101382488,0.000112114254402054,0.000768783458756947,"genus","IS"
"Biot","genus_Odoribacter",-0.898617511520737,0.000169817534867737,0.00108683222315351,"genus","IS"
"Biot","class_Bacilli",0.880184331797235,0.000350353350126039,0.00186855120067221,"class","IS"
"Biot","order_Lactobacillales",0.880184331797235,0.000350353350126039,0.00186855120067221,"order","IS"
"Biot","genus_Veillonella",0.880184331797235,0.000350353350126039,0.00186855120067221,"genus","IS"
"Biot","phylum_unclassified_Bacteria",0.834101382488479,0.00141327081168252,0.00589886947484876,"phylum","IS"
"Biot","class_unclassified_Bacteria",0.834101382488479,0.00141327081168252,0.00589886947484876,"class","IS"
"Biot","order_unclassified_Bacteria",0.834101382488479,0.00141327081168252,0.00589886947484876,"order","IS"
"Biot","family_unclassified_Bacteria",0.834101382488479,0.00141327081168252,0.00589886947484876,"family","IS"
"Biot","genus_unclassified_Bacteria",0.834101382488479,0.00141327081168252,0.00589886947484876,"genus","IS"
"Biot","genus_Dorea",0.806451612903226,0.00271059916052001,0.0108423966420801,"genus","IS"
"Biot","genus_Lachnospiracea_incertae_sedis",0.778801843317972,0.00473594252555045,0.0181860192981137,"genus","IS"
"Biot","family_Acidaminococcaceae",-0.724370246883508,0.0116974648897611,0.0415909862747061,"family","IS"
"Biot","genus_Prevotella",-0.724370246883508,0.0116974648897611,0.0415909862747061,"genus","IS"
"Biot","class_unclassified_Firmicutes",-0.705069124423963,0.0153799318281975,0.0434256898678518,"class","IS"
"Biot","order_unclassified_Firmicutes",-0.705069124423963,0.0153799318281975,0.0434256898678518,"order","IS"
"Biot","family_Streptococcaceae",0.705069124423963,0.0153799318281975,0.0434256898678518,"family","IS"
"Biot","family_unclassified_Firmicutes",-0.705069124423963,0.0153799318281975,0.0434256898678518,"family","IS"
"Biot","genus_Streptococcus",0.705069124423963,0.0153799318281975,0.0434256898678518,"genus","IS"
"Biot","genus_unclassified_Firmicutes",-0.705069124423963,0.0153799318281975,0.0434256898678518,"genus","IS"
"Biot","genus_unclassified_Ruminococcaceae",0.705069124423963,0.0153799318281975,0.0434256898678518,"genus","IS"
"Biot","genus_Prevotella",0.846938775510204,6.66555218136748e-07,6.39893009411278e-05,"genus","IR"
"Biot","family_Ruminococcaceae",0.786848072562358,1.40094401041171e-05,0.000672453124997621,"family","IR"
"Biot","family_Bacteroidaceae",-0.699546485260771,0.000290766068783639,0.00697838565080734,"family","IR"
"Biot","genus_Bacteroides",-0.699546485260771,0.000290766068783639,0.00697838565080734,"genus","IR"
"Ca","class_Deltaproteobacteria",1,9.37045228299651e-72,2.24890854791916e-70,"class","IS"
"Ca","order_Desulfovibrionales",1,9.37045228299651e-72,2.24890854791916e-70,"order","IS"
"Ca","family_Clostridiales_Incertae.Sedis.XIII",1,9.37045228299651e-72,2.24890854791916e-70,"family","IS"
"Ca","family_Desulfovibrionaceae",1,9.37045228299651e-72,2.24890854791916e-70,"family","IS"
"Ca","genus_unclassified_Clostridiales_Incertae.Sedis.XIII",0.990783410138249,4.00165494719358e-09,7.68317749861167e-08,"genus","IS"
"Ca","genus_Collinsella",0.972350230414746,5.46692857594408e-07,8.74708572151053e-06,"genus","IS"
"Ca","phylum_Actinobacteria",0.880184331797235,0.000350353350126039,0.00280282680100831,"phylum","IS"
"Ca","class_Actinobacteria",0.880184331797235,0.000350353350126039,0.00280282680100831,"class","IS"
"Ca","order_Coriobacteriales",0.880184331797235,0.000350353350126039,0.00280282680100831,"order","IS"
"Ca","family_Coriobacteriaceae",0.880184331797235,0.000350353350126039,0.00280282680100831,"family","IS"
"Ca","family_Rikenellaceae",0.889400921658986,0.000247779031525772,0.00280282680100831,"family","IS"
"Ca","genus_Alistipes",0.889400921658986,0.000247779031525772,0.00280282680100831,"genus","IS"
"Ca","order_Enterobacteriales",0.870967741935484,0.000482312165333002,0.0033072834194263,"order","IS"
"Ca","family_Enterobacteriaceae",0.870967741935484,0.000482312165333002,0.0033072834194263,"family","IS"
"Ca","genus_Phascolarctobacterium",0.846710709554796,0.00100941681058124,0.00646026758771992,"genus","IS"
"Ca","family_Clostridiaceae.1",0.834101382488479,0.00141327081168252,0.00753744432897344,"family","IS"
"Ca","genus_Barnesiella",-0.834101382488479,0.00141327081168252,0.00753744432897344,"genus","IS"
"Ca","genus_Clostridium.sensu.stricto",0.834101382488479,0.00141327081168252,0.00753744432897344,"genus","IS"
"Ca","genus_Bilophila",0.824884792626728,0.00177734740204699,0.0089802816103427,"genus","IS"
"Ca","genus_Holdemania",0.797235023041475,0.00329454631145334,0.015813822294976,"genus","IS"
"Ca","family_Streptococcaceae",-0.751152073732719,0.00770485429052238,0.0336211823586431,"family","IS"
"Ca","genus_Streptococcus",-0.751152073732719,0.00770485429052238,0.0336211823586431,"genus","IS"
"Ca","genus_Butyricicoccus",0.741935483870968,0.00894367798580297,0.0373301342016124,"genus","IS"
"Ca","genus_Ruminococcus",-0.94596682917827,3.0604784186692e-11,2.93805928192243e-09,"genus","IR"
"Ca","genus_Blautia",-0.748299319727891,6.20162070225789e-05,0.00259299762303497,"genus","IR"
"Ca","genus_Phascolarctobacterium",0.7319250547114,0.000108041567626457,0.00259299762303497,"genus","IR"
"Ca","genus_unclassified_Lachnospiraceae",-0.732426303854875,0.000106283389389372,0.00259299762303497,"genus","IR"
"Ca","class_unclassified_Firmicutes",0.68140589569161,0.000479905707794817,0.00511899421647805,"class","IR"
"Ca","order_unclassified_Firmicutes",0.68140589569161,0.000479905707794817,0.00511899421647805,"order","IR"
"Ca","family_unclassified_Firmicutes",0.68140589569161,0.000479905707794817,0.00511899421647805,"family","IR"
"Ca","genus_Butyricicoccus",-0.68140589569161,0.000479905707794817,0.00511899421647805,"genus","IR"
"Ca","genus_unclassified_Firmicutes",0.68140589569161,0.000479905707794817,0.00511899421647805,"genus","IR"
"Ca","genus_Erysipelotrichaceae_incertae_sedis",-0.675736961451247,0.000557350863029383,0.00535056828508207,"genus","IR"
"Ca","genus_unclassified_Clostridiales_Incertae.Sedis.XIII",-0.666666666666667,0.000703523293128321,0.00613983964911989,"genus","IR"
"Ca","class_Clostridia",-0.64625850340136,0.00115629259693282,0.00836061547433161,"class","IR"
"Ca","order_Clostridiales",-0.64625850340136,0.00115629259693282,0.00836061547433161,"order","IR"
"Ca","genus_Coprococcus",-0.643990929705215,0.00121925642334003,0.00836061547433161,"genus","IR"
"Ca","genus_Clostridium.XlVa",0.580498866213152,0.00461835159344099,0.0295574501980224,"genus","IR"
"Ca","phylum_Firmicutes",-0.562358276643991,0.0064448319034259,0.0331354617921717,"phylum","IR"
"Ca","family_Acidaminococcaceae",0.570294784580499,0.00558331770106234,0.0331354617921717,"family","IR"
"Ca","family_Lachnospiraceae",-0.561224489795918,0.00657644507971092,0.0331354617921717,"family","IR"
"Ca","genus_Butyricimonas",-0.558488658476091,0.00690322120670243,0.0331354617921717,"genus","IR"
"Ca","genus_Roseburia",-0.563492063492063,0.00631540939057305,0.0331354617921717,"genus","IR"
"Ca","family_Clostridiales_Incertae.Sedis.XIII",-0.554421768707483,0.00741373348984926,0.0338913530964537,"family","IR"
"Ca","genus_unclassified_Porphyromonadaceae",0.542495524430385,0.00909368318212637,0.0396815266129151,"genus","IR"
"Caff","genus_unclassified_Clostridiales_Incertae.Sedis.XIII",0.986078207047872,2.54309845784432e-08,2.44137451953055e-06,"genus","IS"
"Caff","genus_Collinsella",0.976731494184859,2.5312811180075e-07,1.2150149366436e-05,"genus","IS"
"Caff","class_Deltaproteobacteria",0.967384781321846,1.14130068672539e-06,1.82608109876063e-05,"class","IS"
"Caff","order_Desulfovibrionales",0.967384781321846,1.14130068672539e-06,1.82608109876063e-05,"order","IS"
"Caff","family_Clostridiales_Incertae.Sedis.XIII",0.967384781321846,1.14130068672539e-06,1.82608109876063e-05,"family","IS"
"Caff","family_Desulfovibrionaceae",0.967384781321846,1.14130068672539e-06,1.82608109876063e-05,"family","IS"
"Caff","family_Rikenellaceae",0.958038068458833,3.49916332483121e-06,4.19899598979745e-05,"family","IS"
"Caff","genus_Alistipes",0.958038068458833,3.49916332483121e-06,4.19899598979745e-05,"genus","IS"
"Caff","order_Enterobacteriales",0.901957791280755,0.00014677947236243,0.00140908293467933,"order","IS"
"Caff","family_Enterobacteriaceae",0.901957791280755,0.00014677947236243,0.00140908293467933,"family","IS"
"Caff","genus_Phascolarctobacterium",0.884685011400909,0.000296898195800616,0.00259111152698719,"genus","IS"
"Caff","genus_Butyricicoccus",0.85522422696569,0.000790683983896019,0.00632547187116815,"genus","IS"
"Caff","phylum_Actinobacteria",0.836530801239664,0.00132740552296702,0.0079644331378021,"phylum","IS"
"Caff","class_Actinobacteria",0.836530801239664,0.00132740552296702,0.0079644331378021,"class","IS"
"Caff","order_Coriobacteriales",0.836530801239664,0.00132740552296702,0.0079644331378021,"order","IS"
"Caff","family_Coriobacteriaceae",0.836530801239664,0.00132740552296702,0.0079644331378021,"family","IS"
"Caff","family_Clostridiaceae.1",0.743063672609534,0.00878473811743008,0.0421667429636644,"family","IS"
"Caff","genus_Barnesiella",-0.743063672609534,0.00878473811743008,0.0421667429636644,"genus","IS"
"Caff","genus_Bilophila",0.743063672609534,0.00878473811743008,0.0421667429636644,"genus","IS"
"Caff","genus_Clostridium.sensu.stricto",0.743063672609534,0.00878473811743008,0.0421667429636644,"genus","IS"
"Caff","genus_Anaerovorax",0.798185941043084,8.53305057867469e-06,0.000409586427776385,"genus","IR"
"Caff","genus_unclassified_Ruminococcaceae",0.804988662131519,6.24269058605312e-06,0.000409586427776385,"genus","IR"
"Caff","phylum_unclassified_Bacteria",0.724489795918367,0.000137248070972932,0.00164697685167518,"phylum","IR"
"Caff","class_unclassified_Bacteria",0.724489795918367,0.000137248070972932,0.00164697685167518,"class","IR"
"Caff","order_unclassified_Bacteria",0.724489795918367,0.000137248070972932,0.00164697685167518,"order","IR"
"Caff","family_unclassified_Bacteria",0.724489795918367,0.000137248070972932,0.00164697685167518,"family","IR"
"Caff","genus_Pseudoflavonifractor",0.7319250547114,0.000108041567626457,0.00164697685167518,"genus","IR"
"Caff","genus_unclassified_Bacteria",0.724489795918367,0.000137248070972932,0.00164697685167518,"genus","IR"
"Caff","genus_Oscillibacter",0.698412698412698,0.000300329828699813,0.00320351817279801,"genus","IR"
"Caff","genus_Anaerotruncus",-0.672735732879341,0.000602522787219315,0.00578421875730542,"genus","IR"
"Caff","family_Rikenellaceae",-0.607709750566893,0.00269957916631858,0.0199353538435834,"family","IR"
"Caff","family_Ruminococcaceae",0.612244897959184,0.00245697566731144,0.0199353538435834,"family","IR"
"Caff","genus_Alistipes",-0.607709750566893,0.00269957916631858,0.0199353538435834,"genus","IR"
"Caff","phylum_Verrucomicrobia",0.580498866213152,0.00461835159344099,0.024631208498352,"phylum","IR"
"Caff","class_Verrucomicrobiae",0.580498866213152,0.00461835159344099,0.024631208498352,"class","IR"
"Caff","order_Verrucomicrobiales",0.580498866213152,0.00461835159344099,0.024631208498352,"order","IR"
"Caff","family_Verrucomicrobiaceae",0.580498866213152,0.00461835159344099,0.024631208498352,"family","IR"
"Caff","genus_Akkermansia",0.580498866213152,0.00461835159344099,0.024631208498352,"genus","IR"
"Caff","family_unclassified_Clostridiales",0.570294784580499,0.00558331770106234,0.0267999249650992,"family","IR"
