"data_set1","data_set2","cor","p","p_adjust","Mass","Metabolite","KEGG","HMDB","CAS","ChEBI","ppm","Mode","med","Ions","MSMS","Used.for.Quant","Super.pathway","Sub.pathway","true_name","mean_int"
"percent_carb_cal","pHILIC_282.119_6.7",-0.460545013792527,9.98064321769604e-05,0.00112448580252709,"282.119_6.7","N1-methyladenosine","C02494","HMDB03331",NA,NA,"-2.43317140935536|-2.43317140935536|-2.43317140935536|-2.43317140935536|2.32438192199972|-2.43317140935536","pHILIC",5e+05,"[M+H]+","YES","Y","Nucleotide","""Purine Metabolism, Adenine containing""","N1-methyladenosine",543272.488946279
"percent_carb_cal","pHILIC_850.6644_5",0.461840675415866,9.48378867232875e-05,0.00112448580252709,"850.6644_5","PC(P-42:5)",NA,NA,NA,NA,"-4.732279534","pHILIC",3e+05,"[M+H]+","YES","Y",NA,NA,"PC(P-42:5)",744638.653751529
"Chln","pHILIC_130.0863_6.6",0.499038702666555,1.99870202901479e-05,0.001125935476345,"130.0863_6.6","N-methylproline",NA,NA,NA,NA,"0.320726017","pHILIC",2e+06,"[M+H]+","YES","Y","Amino Acid","Urea cycle; Arginine and Proline Metabolism","N-methylproline",1724519.39713048
"Na","nRPLC_172.9914_0.9",-0.473041879127309,6.04655315250429e-05,0.00113540831419247,"172.9914_0.9","Phenol sulphate","C00850","HMDB60015",NA,"HMDB","0.003620717","nRPLC",1e+06,"[M-H]-","YES","Y","Amino Acid","Tyrosine Metabolism","Phenol sulphate",2244594.12642679
"VitD_IU","nHILIC_160.0615_7.2",0.478851458664215,4.75794796816625e-05,0.00114870458088585,"160.0615_7.2","N-acetylthreonine",NA,NA,NA,NA,"-0.124170556","nHILIC",60000,"[M-H]-","YES","Y","Amino Acid","""Glycine, Serine and Threonine Metabolism""","N-acetylthreonine",90863.7902522834
"TotFib","nHILIC_274.1407_12.3",-0.472540332692468,6.17172049472433e-05,0.0011589119595649,"274.1407_12.3","L-a-glutamyl-L-Lysine","C04700","HMDB04207","5891-53-2","HMDB","-0.511713733","nHILIC",3e+05,"[M-H]-","YES","Y","Peptide","Dipeptide","L-a-glutamyl-L-Lysine",291868.626570846
"Energy","nRPLC_441.3947_11.3",-0.47789016133077,4.95191021419684e-05,0.00119553260885609,"441.3947_11.3","MG(24:0)",NA,"HMDB11558",NA,"HMDB","-0.520377418","nRPLC",1e+05,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(24:0)",122331.523007717
"Energy","pRPLC_704.4472_10.9",-0.479060436345398,4.71672352967569e-05,0.00119553260885609,"704.4472_10.9","PS(30:2)",NA,NA,NA,NA,"-3.57365132211743|-3.57365132211743|-3.87512554039268","pRPLC",90000,"[M+H]+","YES","Y",NA,NA,"PS(30:2)",106832.863585519
"Ca","pHILIC_229.1181_10.9",-0.477472205968403,5.03850199262214e-05,0.00121643833821877,"229.1181_10.9","pro-hydroxy-pro",NA,"HMDB06695",NA,NA,"-0.819820822","pHILIC",3e+05,"[M+H]+","YES","Y","Amino Acid","Urea cycle; Arginine and Proline Metabolism","pro-hydroxy-pro",307135.236847706
"percent_fat_cal","nHILIC_481.244_5.2",0.477263228287219,5.08232120582135e-05,0.00122701754826258,"481.244_5.2","11-beta-Hydroxyandrosterone-3-glucuronide",NA,"HMDB10351",NA,"HMDB","-0.627917462","nHILIC",70000,"[M-H]-","YES","Y","Lipid","Androgenic Steroids","11-beta-Hydroxyandrosterone-3-glucuronide",74266.6266585525
"Folate","nRPLC_203.002_1.9",0.467692050489008,7.51129036840036e-05,0.00126940807225966,"203.002_1.9","4-Methylcatechol sulfate",NA,NA,NA,NA,"0.176188064","nRPLC",3e+05,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","4-Methylcatechol sulfate",390287.42294474
"Chol","pRPLC_169.0971_1.6",-0.476427317562484,5.26114698972028e-05,0.0012701912018039,"169.0971_1.6","Cyclo(ala-pro)",NA,NA,NA,NA,"-0.47593602","pRPLC",40000,"[M+H]+","YES","Y","Peptide","Dipeptide","Cyclo(ala-pro)",44332.49660316
"W3","nRPLC_495.2962_9.1",0.444328345732676,0.000185927740387952,0.00130924117189849,"495.2962_9.1","Pregnanediol-3-glucuronide","C03033","HMDB10318",NA,"HMDB","-0.278829397","nRPLC",50000,"[M-H]-","YES","Y","Lipid","Progestin Steroids","Pregnanediol-3-glucuronide",91095.2326315556
