data_set1,data_set2,Metabolite,Super.pathway,Sub.pathway,cor_IS,cor_IR,p_adjust_cor_IS,p_adjust_cor_IR,p-value,BH p-value,cor_signifiance_type,cor_direction_difference
Chrom,nRPLC_383.1535_7.6,16a-hydroxy DHEA 3-sulfate,Lipid,Androgenic Steroids,-0.837798339495347,0.0628604865000418,9.66499718159762e-05,0.754469380999742,0.0153677549161162,0.0542744124842349,IS,False
Fluor,nRPLC_383.1535_7.6,16a-hydroxy DHEA 3-sulfate,Lipid,Androgenic Steroids,0.168470318268086,-0.331856557719636,0.567820836220335,0.0421632619961448,0.0153677549161162,0.0542744124842349,IR,False
Fe,nRPLC_383.1535_7.6,16a-hydroxy DHEA 3-sulfate,Lipid,Androgenic Steroids,-0.649976700885656,-0.152553707264064,0.0089488619693164,0.470393684765453,0.0153677549161162,0.0542744124842349,IS,True
Mg,nRPLC_383.1535_7.6,16a-hydroxy DHEA 3-sulfate,Lipid,Androgenic Steroids,-0.76266968405147,0.16755830477305,0.0005651002159479,0.435425263611564,0.0153677549161162,0.0542744124842349,IS,False
Mn,nRPLC_383.1535_7.6,16a-hydroxy DHEA 3-sulfate,Lipid,Androgenic Steroids,-0.635178632389135,-0.261723647914403,0.0078817072292528,0.134829828663055,0.0153677549161162,0.0542744124842349,IS,True
Moly,nRPLC_383.1535_7.6,16a-hydroxy DHEA 3-sulfate,Lipid,Androgenic Steroids,0.328972445807276,0.338376661372565,0.330492856248825,0.037534049515471,0.0153677549161162,0.0542744124842349,IR,True
Phos,nRPLC_383.1535_7.6,16a-hydroxy DHEA 3-sulfate,Lipid,Androgenic Steroids,-0.571433106557967,0.249477555797041,0.0341661913261532,0.167014752449463,0.0153677549161162,0.0542744124842349,IS,False
Se,nRPLC_383.1535_7.6,16a-hydroxy DHEA 3-sulfate,Lipid,Androgenic Steroids,-0.679572837878698,0.166555211903369,0.0065502784674147,0.340537916407692,0.0153677549161162,0.0542744124842349,IS,False
Na,nRPLC_383.1535_7.6,16a-hydroxy DHEA 3-sulfate,Lipid,Androgenic Steroids,0.634040319427864,0.038535484410265,0.0123224732913829,0.862800012622509,0.0153677549161162,0.0542744124842349,IS,True
W3,nRPLC_383.1535_7.6,16a-hydroxy DHEA 3-sulfate,Lipid,Androgenic Steroids,-0.520209023300779,-0.304982027919418,0.0441789495196782,0.0337343225334011,0.0153677549161162,0.0542744124842349,both,True
percent_carb_cal,nRPLC_151.04_2.3,2-Hydroxyphenylacetate,Amino Acid,Tyrosine Metabolism,0.832106774688992,-0.182688288890746,3.54180029347683e-05,0.320087878786056,0.0078247918919595,0.0354071833111169,IS,False
percent_fat_cal,nRPLC_151.04_2.3,2-Hydroxyphenylacetate,Amino Acid,Tyrosine Metabolism,-0.612412373163718,0.358062358940065,0.0250843892457494,0.0197697439915632,0.0078247918919595,0.0354071833111169,both,False
SatFat,nRPLC_151.04_2.3,2-Hydroxyphenylacetate,Amino Acid,Tyrosine Metabolism,-0.616965625008801,-0.15618991891666,0.0320898991818718,0.370465493077914,0.0078247918919595,0.0354071833111169,IS,True
MonoFat,nRPLC_151.04_2.3,2-Hydroxyphenylacetate,Amino Acid,Tyrosine Metabolism,-0.101309853553106,0.385898186073727,0.751551690313864,0.0259262766081901,0.0078247918919595,0.0354071833111169,IR,False
TransFat,nRPLC_151.04_2.3,2-Hydroxyphenylacetate,Amino Acid,Tyrosine Metabolism,-0.673881273072344,-0.156357101061607,0.0054917900746811,0.37745973856641,0.0078247918919595,0.0354071833111169,IS,True
VitA_IU,nRPLC_151.04_2.3,2-Hydroxyphenylacetate,Amino Acid,Tyrosine Metabolism,0.649976700885656,0.035442614728747,0.0154112090888117,0.876030008610069,0.0078247918919595,0.0354071833111169,IS,True
Caroten,nRPLC_151.04_2.3,2-Hydroxyphenylacetate,Amino Acid,Tyrosine Metabolism,0.701200784142844,-0.0005433419710774,0.0101047393030375,0.998937024090357,0.0078247918919595,0.0354071833111169,IS,False
VitB1,nRPLC_151.04_2.3,2-Hydroxyphenylacetate,Amino Acid,Tyrosine Metabolism,0.637455258311677,-0.215748558054,0.0130969589150052,0.272532431631884,0.0078247918919595,0.0354071833111169,IS,False
VitB2,nRPLC_151.04_2.3,2-Hydroxyphenylacetate,Amino Acid,Tyrosine Metabolism,0.242460660750691,0.376953941319067,0.425504875558521,0.0225752651047867,0.0078247918919595,0.0354071833111169,IR,True
VitB_NE,nRPLC_151.04_2.3,2-Hydroxyphenylacetate,Amino Acid,Tyrosine Metabolism,0.196928142299857,-0.33256708183566,0.562923966106143,0.0430361462831795,0.0078247918919595,0.0354071833111169,IR,False
VitB6,nRPLC_151.04_2.3,2-Hydroxyphenylacetate,Amino Acid,Tyrosine Metabolism,0.552081786216363,-0.35697567499791,0.0387766261961665,0.021177491317551,0.0078247918919595,0.0354071833111169,both,False
VitB12,nRPLC_151.04_2.3,2-Hydroxyphenylacetate,Amino Acid,Tyrosine Metabolism,0.84235159134043,-0.186240909470868,2.96672554099179e-05,0.366150475771824,0.0078247918919595,0.0354071833111169,IS,False
Biot,nRPLC_151.04_2.3,2-Hydroxyphenylacetate,Amino Acid,Tyrosine Metabolism,-0.915203620861764,0.220680431329934,1.02914365065209e-07,0.275471304508721,0.0078247918919595,0.0354071833111169,IS,False
VitE_a_Toco,nRPLC_151.04_2.3,2-Hydroxyphenylacetate,Amino Acid,Tyrosine Metabolism,-0.315312690272026,0.359525202708351,0.239250533190792,0.0222542824530858,0.0078247918919595,0.0354071833111169,IR,False
Ca,nRPLC_151.04_2.3,2-Hydroxyphenylacetate,Amino Acid,Tyrosine Metabolism,0.235630782983066,0.382136587812422,0.604965686687509,0.0113454526100883,0.0078247918919595,0.0354071833111169,IR,True
Chrom,nRPLC_151.04_2.3,2-Hydroxyphenylacetate,Amino Acid,Tyrosine Metabolism,0.5350070917973,-0.0137925269581209,0.0497347290314677,0.951904554089685,0.0078247918919595,0.0354071833111169,IS,False
Iodine,nRPLC_151.04_2.3,2-Hydroxyphenylacetate,Amino Acid,Tyrosine Metabolism,0.620380563892614,-0.0545431747889325,0.0445761636371183,0.806805115341783,0.0078247918919595,0.0354071833111169,IS,False
Moly,nRPLC_151.04_2.3,2-Hydroxyphenylacetate,Amino Acid,Tyrosine Metabolism,-0.675019586033615,0.188456072891415,0.0073823770851902,0.257823798174137,0.0078247918919595,0.0354071833111169,IS,False
Se,nRPLC_151.04_2.3,2-Hydroxyphenylacetate,Amino Acid,Tyrosine Metabolism,0.618103937970072,-0.190169689877121,0.0170861022732247,0.263222789206673,0.0078247918919595,0.0354071833111169,IS,False
Na,nRPLC_151.04_2.3,2-Hydroxyphenylacetate,Amino Acid,Tyrosine Metabolism,-0.38816471979336,0.366672239404832,0.232343915202354,0.019800280346736,0.0078247918919595,0.0354071833111169,IR,False
W3,nRPLC_151.04_2.3,2-Hydroxyphenylacetate,Amino Acid,Tyrosine Metabolism,0.786574256238158,0.098261305692552,0.0012184629776697,0.566602676880391,0.0078247918919595,0.0354071833111169,IS,True
Alcohol,nRPLC_151.04_2.3,2-Hydroxyphenylacetate,Amino Acid,Tyrosine Metabolism,0.0,-0.339320004450054,1.0,0.0359413343374676,0.0078247918919595,0.0354071833111169,IR,False
percent_carb_cal,nHILIC_133.0506_2.3,"""2,3-Dihydroxyvaleric acid(2)""",Cofactors and Vitamins,Pantothenate and CoA Metabolism,0.0580539610248134,0.493270918665886,0.890993225825231,0.0004050966313155,0.0101539595912796,0.0424940274224652,IR,True
percent_fat_cal,nHILIC_133.0506_2.3,"""2,3-Dihydroxyvaleric acid(2)""",Cofactors and Vitamins,Pantothenate and CoA Metabolism,-0.0261811981092296,-0.432918164340048,0.941349089821553,0.0034139965754534,0.0101539595912796,0.0424940274224652,IR,True
SolFib,nHILIC_133.0506_2.3,"""2,3-Dihydroxyvaleric acid(2)""",Cofactors and Vitamins,Pantothenate and CoA Metabolism,0.2538437903634,0.341845690880214,0.52335297653456,0.0343750315605048,0.0101539595912796,0.0424940274224652,IR,True
Sugar,nHILIC_133.0506_2.3,"""2,3-Dihydroxyvaleric acid(2)""",Cofactors and Vitamins,Pantothenate and CoA Metabolism,0.664774769382177,0.468695143358689,0.0037785744563031,0.0017416392028286,0.0101539595912796,0.0424940274224652,both,True
MonSac,nHILIC_133.0506_2.3,"""2,3-Dihydroxyvaleric acid(2)""",Cofactors and Vitamins,Pantothenate and CoA Metabolism,0.424590734554028,0.531889994148625,0.267974738294562,0.0001068503072406,0.0101539595912796,0.0424940274224652,IR,True
SatFat,nHILIC_133.0506_2.3,"""2,3-Dihydroxyvaleric acid(2)""",Cofactors and Vitamins,Pantothenate and CoA Metabolism,0.453048558585799,-0.470743124634289,0.141846238050456,0.0033373061603527,0.0101539595912796,0.0424940274224652,IR,False
MonoFat,nHILIC_133.0506_2.3,"""2,3-Dihydroxyvaleric acid(2)""",Cofactors and Vitamins,Pantothenate and CoA Metabolism,-0.575986358403051,-0.113934631781326,0.0169890198838869,0.706004418402507,0.0101539595912796,0.0424940274224652,IS,True
Retinol,nHILIC_133.0506_2.3,"""2,3-Dihydroxyvaleric acid(2)""",Cofactors and Vitamins,Pantothenate and CoA Metabolism,-0.40068616236734,-0.358981860737273,0.14557598658742,0.0230143661581747,0.0101539595912796,0.0424940274224652,IR,True
BetaCaro,nHILIC_133.0506_2.3,"""2,3-Dihydroxyvaleric acid(2)""",Cofactors and Vitamins,Pantothenate and CoA Metabolism,0.366536773529214,0.330017554125219,0.21325870147103,0.0415398326576881,0.0101539595912796,0.0424940274224652,IR,True
VitB2,nHILIC_133.0506_2.3,"""2,3-Dihydroxyvaleric acid(2)""",Cofactors and Vitamins,Pantothenate and CoA Metabolism,-0.780882691431804,-0.0400401237147873,0.0002336602896266,0.861755786807504,0.0101539595912796,0.0424940274224652,IS,True
VitC,nHILIC_133.0506_2.3,"""2,3-Dihydroxyvaleric acid(2)""",Cofactors and Vitamins,Pantothenate and CoA Metabolism,-0.0398409536444798,0.448131739530218,0.920160981036246,0.0028583702919119,0.0101539595912796,0.0424940274224652,IR,False
VitD_IU,nHILIC_133.0506_2.3,"""2,3-Dihydroxyvaleric acid(2)""",Cofactors and Vitamins,Pantothenate and CoA Metabolism,-0.820723645076284,-0.318440190587645,3.04865758641336e-05,0.0455595255627223,0.0101539595912796,0.0424940274224652,both,True
VitE_a_Toco,nHILIC_133.0506_2.3,"""2,3-Dihydroxyvaleric acid(2)""",Cofactors and Vitamins,Pantothenate and CoA Metabolism,-0.679572837878698,0.022277020814177,0.0024329605736111,0.948920127113556,0.0101539595912796,0.0424940274224652,IS,False
Chrom,nHILIC_133.0506_2.3,"""2,3-Dihydroxyvaleric acid(2)""",Cofactors and Vitamins,Pantothenate and CoA Metabolism,-0.639731884234218,0.304773050238235,0.0113687942380121,0.0678096290379718,0.0101539595912796,0.0424940274224652,IS,False
Cu,nHILIC_133.0506_2.3,"""2,3-Dihydroxyvaleric acid(2)""",Cofactors and Vitamins,Pantothenate and CoA Metabolism,-0.610135747241176,-0.400568419292819,0.0255230937985808,0.0068806159170059,0.0101539595912796,0.0424940274224652,both,True
Fluor,nHILIC_133.0506_2.3,"""2,3-Dihydroxyvaleric acid(2)""",Cofactors and Vitamins,Pantothenate and CoA Metabolism,0.662498143459635,0.239363036027752,0.0042576884005632,0.154159724824242,0.0101539595912796,0.0424940274224652,IS,True
Mg,nHILIC_133.0506_2.3,"""2,3-Dihydroxyvaleric acid(2)""",Cofactors and Vitamins,Pantothenate and CoA Metabolism,-0.673881273072344,-0.254075064783081,0.0056559638681366,0.151844122981569,0.0101539595912796,0.0424940274224652,IS,True
Zn,nHILIC_133.0506_2.3,"""2,3-Dihydroxyvaleric acid(2)""",Cofactors and Vitamins,Pantothenate and CoA Metabolism,-0.0330110758768547,-0.388489509320405,0.93377804951896,0.0089195332343769,0.0101539595912796,0.0424940274224652,IR,True
percent_carb_cal,nRPLC_149.0607_4.6,3-Phenylpropionate (hydrocinnamate),Xenobiotics,Benzoate Metabolism,-0.889022422752535,-0.0716375491097551,2.71372296120059e-06,0.752992356753319,7.115212032652279e-10,1.1289258376323067e-07,IS,True
percent_pro_cal,nRPLC_149.0607_4.6,3-Phenylpropionate (hydrocinnamate),Xenobiotics,Benzoate Metabolism,0.560049976945259,0.153013458162668,0.0366082688903146,0.40853929887777,7.115212032652279e-10,1.1289258376323067e-07,IS,True
percent_fat_cal,nRPLC_149.0607_4.6,3-Phenylpropionate (hydrocinnamate),Xenobiotics,Benzoate Metabolism,0.639731884234218,0.0996823539246009,0.018947990396687,0.598583089449048,7.115212032652279e-10,1.1289258376323067e-07,IS,True
Sugar,nRPLC_149.0607_4.6,3-Phenylpropionate (hydrocinnamate),Xenobiotics,Benzoate Metabolism,-0.619242250931343,0.132617236479144,0.0087336304040419,0.487502470783033,7.115212032652279e-10,1.1289258376323067e-07,IS,False
SugAdd,nRPLC_149.0607_4.6,3-Phenylpropionate (hydrocinnamate),Xenobiotics,Benzoate Metabolism,-0.282301614395171,0.337207493297481,0.357457591781316,0.0305632515108019,7.115212032652279e-10,1.1289258376323067e-07,IR,False
TransFat,nRPLC_149.0607_4.6,3-Phenylpropionate (hydrocinnamate),Xenobiotics,Benzoate Metabolism,0.557773351022717,-0.626807656942239,0.0365253608762369,1.51996586013051e-06,7.115212032652279e-10,1.1289258376323067e-07,both,False
VitA_IU,nRPLC_149.0607_4.6,3-Phenylpropionate (hydrocinnamate),Xenobiotics,Benzoate Metabolism,-0.64200851015676,0.14072557050907,0.0154112090888117,0.457228611612409,7.115212032652279e-10,1.1289258376323067e-07,IS,False
Caroten,nRPLC_149.0607_4.6,3-Phenylpropionate (hydrocinnamate),Xenobiotics,Benzoate Metabolism,-0.692094280452678,0.119911393463178,0.0101047393030375,0.548518344275334,7.115212032652279e-10,1.1289258376323067e-07,IS,False
Retinol,nRPLC_149.0607_4.6,3-Phenylpropionate (hydrocinnamate),Xenobiotics,Benzoate Metabolism,-0.177576821958253,-0.404497199699072,0.55366831238797,0.0098229592614021,7.115212032652279e-10,1.1289258376323067e-07,IR,True
VitB12,nRPLC_149.0607_4.6,3-Phenylpropionate (hydrocinnamate),Xenobiotics,Benzoate Metabolism,-0.791127508083242,-0.0153807573351166,0.0001970461019693,0.959202270924381,7.115212032652279e-10,1.1289258376323067e-07,IS,True
Biot,nRPLC_149.0607_4.6,3-Phenylpropionate (hydrocinnamate),Xenobiotics,Benzoate Metabolism,0.96301276523514,-0.0522026247596757,1.25449767362524e-10,0.820140428190129,7.115212032652279e-10,1.1289258376323067e-07,IS,False
VitD_IU,nRPLC_149.0607_4.6,3-Phenylpropionate (hydrocinnamate),Xenobiotics,Benzoate Metabolism,-0.338078949497443,-0.379879628855638,0.237811987053735,0.0174812897403481,7.115212032652279e-10,1.1289258376323067e-07,IR,True
Folate,nRPLC_149.0607_4.6,3-Phenylpropionate (hydrocinnamate),Xenobiotics,Benzoate Metabolism,-0.433697238244194,0.423263395469364,0.160717831484169,0.0051838539941941,7.115212032652279e-10,1.1289258376323067e-07,IR,False
VitK,nRPLC_149.0607_4.6,3-Phenylpropionate (hydrocinnamate),Xenobiotics,Benzoate Metabolism,-0.287993179201525,0.400150463930452,0.330665223259479,0.007014507588234,7.115212032652279e-10,1.1289258376323067e-07,IR,False
Iodine,nRPLC_149.0607_4.6,3-Phenylpropionate (hydrocinnamate),Xenobiotics,Benzoate Metabolism,-0.661359830498365,-0.377246510072724,0.0445761636371183,0.0122480012531499,7.115212032652279e-10,1.1289258376323067e-07,both,True
Moly,nRPLC_149.0607_4.6,3-Phenylpropionate (hydrocinnamate),Xenobiotics,Benzoate Metabolism,0.777467752547991,0.21817269915573,0.0005819080620604,0.189645273041214,7.115212032652279e-10,1.1289258376323067e-07,IS,True
W3,nRPLC_149.0607_4.6,3-Phenylpropionate (hydrocinnamate),Xenobiotics,Benzoate Metabolism,-0.74900992851622,0.0690044303268411,0.0012777152954603,0.717878342918376,7.115212032652279e-10,1.1289258376323067e-07,IS,False
Sugar,nRPLC_203.002_1.9,4-Methylcatechol sulfate,Xenobiotics,Benzoate Metabolism,-0.648838387924385,0.35877288305609,0.0054082084034545,0.0275277268071772,0.004016610585464,0.0228684020513494,both,False
TransFat,nRPLC_203.002_1.9,4-Methylcatechol sulfate,Xenobiotics,Benzoate Metabolism,0.21400283671892,-0.479645573852713,0.506334532395175,0.0006482624551861,0.004016610585464,0.0228684020513494,IR,False
VitB12,nRPLC_203.002_1.9,4-Methylcatechol sulfate,Xenobiotics,Benzoate Metabolism,-0.562326602867801,0.144445373234139,0.0351546102789555,0.485807402949334,0.004016610585464,0.0228684020513494,IS,False
Biot,nRPLC_203.002_1.9,4-Methylcatechol sulfate,Xenobiotics,Benzoate Metabolism,0.678434524917427,-0.035902365627351,0.0046186679663617,0.874986281449447,0.004016610585464,0.0228684020513494,IS,False
VitD_IU,nRPLC_203.002_1.9,4-Methylcatechol sulfate,Xenobiotics,Benzoate Metabolism,-0.0580539610248134,-0.366588648332358,0.885169740689119,0.0214904702878819,0.004016610585464,0.0228684020513494,IR,True
Folate,nRPLC_203.002_1.9,4-Methylcatechol sulfate,Xenobiotics,Benzoate Metabolism,0.0022766259225417,0.467692050489008,0.991977429222695,0.0012694080722596,0.004016610585464,0.0228684020513494,IR,True
VitK,nRPLC_203.002_1.9,4-Methylcatechol sulfate,Xenobiotics,Benzoate Metabolism,-0.277748362550088,0.385814595001254,0.345789179757219,0.0086219602570119,0.004016610585464,0.0228684020513494,IR,False
Ca,nRPLC_203.002_1.9,4-Methylcatechol sulfate,Xenobiotics,Benzoate Metabolism,-0.687541028607594,0.220722226866171,0.0049092252622253,0.16882838226058,0.004016610585464,0.0228684020513494,IS,False
Cu,nRPLC_203.002_1.9,4-Methylcatechol sulfate,Xenobiotics,Benzoate Metabolism,0.257258729247212,0.432709186658865,0.394757666702368,0.0037044573379339,0.004016610585464,0.0228684020513494,IR,True
Fluor,nRPLC_203.002_1.9,4-Methylcatechol sulfate,Xenobiotics,Benzoate Metabolism,-0.49516613815282,-0.216835241996155,0.0425239254819268,0.213061331875887,0.004016610585464,0.0228684020513494,IS,True
Fe,nRPLC_203.002_1.9,4-Methylcatechol sulfate,Xenobiotics,Benzoate Metabolism,0.300514621775505,0.439689041210399,0.338334767580867,0.0037331073568018,0.004016610585464,0.0228684020513494,IR,True
Mg,nRPLC_203.002_1.9,4-Methylcatechol sulfate,Xenobiotics,Benzoate Metabolism,0.368813399451756,0.466856139764273,0.22281295804559,0.0014586061081429,0.004016610585464,0.0228684020513494,IR,True
Moly,nRPLC_203.002_1.9,4-Methylcatechol sulfate,Xenobiotics,Benzoate Metabolism,0.541836969564925,0.333277605951684,0.0597667289044221,0.0385524640750772,0.004016610585464,0.0228684020513494,IR,True
Energy,nHILIC_197.0679_1.4,5-Acetylamino-6-amino-3-methyluracil(1),Xenobiotics,Xanthine Metabolism,0.678434524917427,0.11861573183984,0.0188554772024944,0.56251343766576,0.0055832854680824,0.0274986304686508,IS,True
percent_pro_cal,nHILIC_197.0679_1.4,5-Acetylamino-6-amino-3-methyluracil(1),Xenobiotics,Xanthine Metabolism,-0.317589316194567,-0.37641059934799,0.26646861864386,0.0141315849751794,0.0055832854680824,0.0274986304686508,IR,True
percent_fat_cal,nHILIC_197.0679_1.4,5-Acetylamino-6-amino-3-methyluracil(1),Xenobiotics,Xanthine Metabolism,0.608997434279905,0.108877371896681,0.0250843892457494,0.554931167043288,0.0055832854680824,0.0274986304686508,IS,True
Sugar,nHILIC_197.0679_1.4,5-Acetylamino-6-amino-3-methyluracil(1),Xenobiotics,Xanthine Metabolism,-0.268641858859921,0.342472623923765,0.336092881112045,0.0392832019718357,0.0055832854680824,0.0274986304686508,IR,False
SugAdd,nHILIC_197.0679_1.4,5-Acetylamino-6-amino-3-methyluracil(1),Xenobiotics,Xanthine Metabolism,0.52134733626205,0.338694095720587,0.0433925703575115,0.0304604239458641,0.0055832854680824,0.0274986304686508,both,True
Disacc,nHILIC_197.0679_1.4,5-Acetylamino-6-amino-3-methyluracil(1),Xenobiotics,Xanthine Metabolism,0.384749780909548,-0.47584218005517,0.212612093195039,0.0013387088923598,0.0055832854680824,0.0274986304686508,IR,False
MonoFat,nHILIC_197.0679_1.4,5-Acetylamino-6-amino-3-methyluracil(1),Xenobiotics,Xanthine Metabolism,0.582816236170676,0.136128061523029,0.0158925230485678,0.660323526969764,0.0055832854680824,0.0274986304686508,IS,True
TransFat,nHILIC_197.0679_1.4,5-Acetylamino-6-amino-3-methyluracil(1),Xenobiotics,Xanthine Metabolism,0.0887884109791264,-0.517721307364373,0.77714982574535,0.0001709566918671,0.0055832854680824,0.0274986304686508,IR,False
