"data_set1","data_set2","cor","p","p_adjust","level"
"Disacc","phylum_Actinobacteria",0.775231896386089,0.0141152042766833,0.147656461866333,"phylum"
"Disacc","class_Actinobacteria",0.775231896386089,0.0141152042766833,0.147656461866333,"class"
"Disacc","class_Bacilli",0.949701454427054,8.94437172197206e-05,0.00429329842654659,"class"
"Disacc","class_Erysipelotrichia",0.805358249082392,0.00880413942775918,0.120742483580697,"class"
"Disacc","order_Coriobacteriales",0.762366595651972,0.0169189695888507,0.147656461866333,"order"
"Disacc","order_Erysipelotrichales",0.805358249082392,0.00880413942775918,0.120742483580697,"order"
"Disacc","order_Lactobacillales",0.949701454427054,8.94437172197206e-05,0.00429329842654659,"order"
"Disacc","family_Coriobacteriaceae",0.762366595651972,0.0169189695888507,0.147656461866333,"family"
"Disacc","family_Erysipelotrichaceae",0.805358249082392,0.00880413942775918,0.120742483580697,"family"
"Disacc","family_Streptococcaceae",0.886369250561176,0.00145476344749455,0.0349143227398692,"family"
"Disacc","genus_Streptococcus",0.886369250561176,0.00145476344749455,0.0349143227398692,"genus"
"PolyFat","class_Bacilli",0.880733772368694,0.00171350491163978,0.0822482357587096,"class"
"PolyFat","order_Lactobacillales",0.880733772368694,0.00171350491163978,0.0822482357587096,"order"
"TransFat","genus_Clostridium.IV",-0.899728909790315,0.000951780416506674,0.0913709199846407,"genus"
"VitB1","phylum_Bacteroidetes",-0.827252315616209,0.00593191348886159,0.113892738986142,"phylum"
"VitB1","class_Bacilli",0.802922724080414,0.00917241004741557,0.125793052078842,"class"
"VitB1","class_Bacteroidia",-0.827252315616209,0.00593191348886159,0.113892738986142,"class"
"VitB1","class_Negativicutes",0.830561610235154,0.0055626442775162,0.113892738986142,"class"
"VitB1","order_Bacteroidales",-0.827252315616209,0.00593191348886159,0.113892738986142,"order"
"VitB1","order_Lactobacillales",0.802922724080414,0.00917241004741557,0.125793052078842,"order"
"VitB1","order_Selenomonadales",0.830561610235154,0.0055626442775162,0.113892738986142,"order"
"Biot","class_Erysipelotrichia",0.814605866819672,0.0074969503673478,0.179926808816347,"class"
"Biot","order_Erysipelotrichales",0.814605866819672,0.0074969503673478,0.179926808816347,"order"
"Biot","family_Erysipelotrichaceae",0.814605866819672,0.0074969503673478,0.179926808816347,"family"
"Biot","family_Prevotellaceae",0.818301878499415,0.00701366242128923,0.179926808816347,"family"
"Panto","phylum_Actinobacteria",0.847709852915944,0.00389737320755608,0.0415719808805982,"phylum"
"Panto","class_Actinobacteria",0.847709852915944,0.00389737320755608,0.0415719808805982,"class"
"Panto","class_Betaproteobacteria",-0.813361784450458,0.00766457643740395,0.0668908489082527,"class"
"Panto","class_Erysipelotrichia",0.854889808943941,0.003315619317057,0.0415719808805982,"class"
"Panto","order_Burkholderiales",-0.813361784450458,0.00766457643740395,0.0668908489082527,"order"
"Panto","order_Coriobacteriales",0.903824805693671,0.000825913830573135,0.0264292425783403,"order"
"Panto","order_Erysipelotrichales",0.854889808943941,0.003315619317057,0.0415719808805982,"order"
"Panto","family_Coriobacteriaceae",0.903824805693671,0.000825913830573135,0.0264292425783403,"family"
"Panto","family_Erysipelotrichaceae",0.854889808943941,0.003315619317057,0.0415719808805982,"family"
"Panto","family_Prevotellaceae",0.803847503046679,0.00903137364836767,0.0722509891869414,"family"
"Panto","family_Streptococcaceae",0.780940766642775,0.0129777094242168,0.0889900074803438,"family"
"Panto","genus_Collinsella",0.906627200776782,0.000746809849439974,0.0264292425783403,"genus"
"Panto","genus_Erysipelotrichaceae_incertae_sedis",0.850215116861336,0.0036870294495751,0.0415719808805982,"genus"
"Panto","genus_Phascolarctobacterium",-0.729838445418794,0.0256027085171509,0.163857334509766,"genus"
"Panto","genus_Streptococcus",0.780940766642775,0.0129777094242168,0.0889900074803438,"genus"
"Panto","genus_unclassified_Coriobacteriaceae",0.718347880380271,0.0292564464096717,0.17553867845803,"genus"
"Fluor","phylum_Actinobacteria",0.793402823270648,0.0107117501090735,0.196527155497851,"phylum"
"Fluor","class_Actinobacteria",0.793402823270648,0.0107117501090735,0.196527155497851,"class"
"Fluor","class_Bacilli",0.72015607976633,0.02866021017677,0.196527155497851,"class"
"Fluor","class_Erysipelotrichia",0.747868557639359,0.0204968905817281,0.196527155497851,"class"
"Fluor","order_Coriobacteriales",0.746266809654696,0.0209204466243837,0.196527155497851,"order"
"Fluor","order_Erysipelotrichales",0.747868557639359,0.0204968905817281,0.196527155497851,"order"
"Fluor","order_Lactobacillales",0.72015607976633,0.02866021017677,0.196527155497851,"order"
"Fluor","family_Coriobacteriaceae",0.746266809654696,0.0209204466243837,0.196527155497851,"family"
"Fluor","family_Erysipelotrichaceae",0.747868557639359,0.0204968905817281,0.196527155497851,"family"
"Fluor","family_Streptococcaceae",0.812236117937746,0.00781842246255799,0.196527155497851,"family"
"Fluor","family_Sutterellaceae",-0.78666324076807,0.011900900241115,0.196527155497851,"family"
"Fluor","genus_Flavonifractor",0.737656320390024,0.0232967684466978,0.196527155497851,"genus"
"Fluor","genus_Streptococcus",0.812236117937746,0.00781842246255799,0.196527155497851,"genus"
"Fluor","genus_unclassified_Clostridiales_Incertae.Sedis.XIII",0.72123626047827,0.0283078557603593,0.196527155497851,"genus"
"Iodine","class_Betaproteobacteria",-0.806608732263364,0.00861900339438487,0.178572502769311,"class"
"Iodine","class_Erysipelotrichia",0.771559815555371,0.0148810418974426,0.178572502769311,"class"
"Iodine","order_Burkholderiales",-0.806608732263364,0.00861900339438487,0.178572502769311,"order"
"Iodine","order_Erysipelotrichales",0.771559815555371,0.0148810418974426,0.178572502769311,"order"
"Iodine","family_Erysipelotrichaceae",0.771559815555371,0.0148810418974426,0.178572502769311,"family"
"Iodine","family_Prevotellaceae",0.872867938551828,0.00212565633242605,0.178572502769311,"family"
"Iodine","genus_Collinsella",0.794658869601464,0.0104993681721912,0.178572502769311,"genus"
"Iodine","genus_Prevotella",0.80312621198003,0.00914124961374132,0.178572502769311,"genus"
"Mg","class_Bacilli",0.814511206027865,0.00750961652294088,0.180230796550581,"class"
"Mg","order_Lactobacillales",0.814511206027865,0.00750961652294088,0.180230796550581,"order"
"Mg","family_Streptococcaceae",0.819611940812734,0.00684757552198396,0.180230796550581,"family"
"Mg","genus_Streptococcus",0.819611940812734,0.00684757552198396,0.180230796550581,"genus"
"Phos","class_Deltaproteobacteria",0.845222877787898,0.00411418198819253,0.131653823622161,"class"
"Phos","order_Desulfovibrionales",0.845222877787898,0.00411418198819253,0.131653823622161,"order"
"Phos","order_Enterobacteriales",0.785505402330848,0.0121137341020199,0.193819745632319,"order"
"Phos","family_Desulfovibrionaceae",0.845222877787898,0.00411418198819253,0.131653823622161,"family"
"Phos","family_Enterobacteriaceae",0.785505402330848,0.0121137341020199,0.193819745632319,"family"
"Phos","genus_Bilophila",0.82101105231203,0.00667317401361354,0.160156176326725,"genus"
"Se","class_Deltaproteobacteria",0.825886551584846,0.0060890630805878,0.194850018578809,"class"
"Se","order_Desulfovibrionales",0.825886551584846,0.0060890630805878,0.194850018578809,"order"
"Se","family_Desulfovibrionaceae",0.825886551584846,0.0060890630805878,0.194850018578809,"family"
